MPI ID Number,Risk Measure Type,Programme Type,Operator Business Name,Operator Trading Name,NZBN,Status,Effective Date,Expiry Date,Verification Agency,Is Suspended,Suspension Type,Suspension Start Date,Suspension End Date,Suspended Operations,Physical Address,Physical Town/City,Operator Local Authority,Number of Locations,Location Local Authority,Dairy ULIs,Fishing Vessel Name,Intended Use,Product/Material,Primary,Secondary Process,Market
"173TC/01","Risk Management Programme","Eggs","Central Gold Eggs Limited","","9429031232227","Registered","2022-06-14","","Ministry for Primary Industries - Verification Services","No","","","","","173 Roxburgh East Road, RD 1","Roxburgh","Central Otago District Council","2","Central Otago District Council","N/A","N/A","Animal Consumption, Human Consumption, Not for human or animal consumption","Eggs, Layer chickens, Rearer laying chickens","Candling, Chicken producer, Grading, Harvesting, Packing","Collection, Transport, Washing",""
"1772014/01","Risk Management Programme","Eggs","Midlife Limited","","9429030943773","Registered","2022-02-01","","Ministry for Primary Industries - Verification Services","No","","","","","177 Grange Road","BURNHAM","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Human Consumption","Eggs","Candling, Harvesting, Packing","Retail sale, Transport, Washing",""
"17888/01","Risk Management Programme","Custom","Winston Nutritional Limited","","9429042092773","Registered","2023-04-03","","AsureQuality Limited","No","","","","","37 Banks Road, Mt Wellington","Auckland","Auckland Council","1","Auckland Council","17888","N/A","Animal Consumption, Human Consumption, Sensitive Populations","Dairy products, Follow-on formula, Infant formula, Milk powders, Nutritional powders excl IF & FOF","","Blending/mixing, Formulation, Labelling, Non-refrigerated storage (processes & receives external product), Packing/repacking",""
"1816/01","Risk Management Programme","Custom","Geraldine Cheese Company Limited","","9429037232436","Registered","2021-12-13","","AsureQuality Limited","No","","","","","76G Talbot Street","Geraldine","Timaru District Council","2","Timaru District Council","1816, S785","N/A","Human Consumption","Butter, Dairy material, Dairy products, Fermented milk products, Firm and hard cheese (MSNF < 60%), Milk & cream, Soft & semi-soft cheese (MSNF > 60%)","","Blending/mixing, Fermentation, Formulation, Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Salting/curing/brining, Separation, Thermal processing other than in-container retorting/UHT, Transport",""
"1886/01","Risk Management Programme","Bee products - Bulk honey storage","Sherry Valley Apiaries Limited","","9429035241188","Registered","2022-12-09","","AsureQuality Limited","No","","","","","160 Sherry River Road, RD 2","Wakefield","Nelson City Council","1","Nelson City Council","N/A","N/A","Human Consumption","Bee products, Beeswax","","Melting, Non-refrigerated storage (stand-alone), Transport",""
"1948308/01","Risk Management Programme","Eggs","Otaika Valley Free Range Eggs Limited","","9429033361260","Registered","2021-11-29","","Ministry for Primary Industries - Verification Services","No","","","","","725 State Highway 1, RD 8","Whangarei","Whangarei District Council","1","Whangarei District Council","N/A","N/A","Human Consumption","Eggs","Candling, Harvesting, Packing","Packing/repacking, Transport, Washing",""
"1955/01","Risk Management Programme","Dual operator butcher","Quentin Reardon","Quinny's Redwood Butchery","9429041308332","Registered","2016-09-16","","Ministry for Primary Industries - Verification Services","No","","","","","Unit 14, Redwood Shopping Centre,5 Tarawera Road,Lynmore","Rotorua","Rotorua Lakes Council","1","Rotorua Lakes Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Poultry, Red meat","","Boning/cutting, Boning/cutting;Formulation;Refrigeration;Size reduction, Dual Operator butchering, Formulation, Refrigeration, Salting/curing/brining, Size reduction",""
"1984/01","Risk Management Programme","Dual operator butcher","Graeme Hodges & Sheree Hodges","Mootown Meats","9429045770869","Registered","2014-11-26","","FSQSNZ LIMITED","No","","","","","128 Studholme Street","Morrinsville","Matamata-Piako District Council","1","Matamata-Piako District Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Fish, Poultry, Red meat","","Boning/cutting, Dual Operator butchering, Formulation, Refrigeration, Salting/curing/brining, Size reduction, Smoking, Thermal processing other than in-container retorting/UHT",""
"1ARTISAN/01","Risk Management Programme","Dual operator butcher","Artisan Meats Limited","Meat Merchant","9429031387743","Registered","2016-03-04","","Ministry for Primary Industries - Verification Services","Yes","Voluntary Suspension","2025-02-11","2026-02-10","All operations at 87 Brigham Creek Road, Whenuapai, Auckland","87 Brigham Creek Road, Whenuapai","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Red meat","","Boning/cutting, Drying/reduction of water activity, Dual Operator butchering, Formulation, Salting/curing/brining, Size reduction",""
"1CHOOKFARM/01","Risk Management Programme","Eggs","The Chook Farm Limited","","9429035334286","Registered","2023-06-02","","Ministry for Primary Industries - Verification Services","No","","","","","Lambert Road, Purua","Whangarei","Whangarei District Council","2","Far North District Council","N/A","N/A","Human Consumption","Eggs","Candling, Grading, Harvesting, Packing","",""
"1EASTSIDE/01","Risk Management Programme","Dual operator butcher","Stephen Scannell & Diane Scannell Partnership","Eastside Butchery Temuka","9429044820015","Registered","2005-07-04","","Ministry for Primary Industries - Verification Services","No","","","","","4 Denmark Street","Temuka","Ashburton District Council","1","Ashburton District Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Poultry, Red meat","","Boning/cutting, Boning/cutting;Formulation;Refrigeration, Boning/cutting;Formulation;Thermal processing other than in-container retorting/UHT, Dual Operator butchering, Formulation, Refrigeration, Salting/curing/brining, Size reduction, Smoking, Thermal processing other than in-container retorting/UHT",""
"1EDGE/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Edgecomb Honey Limited","","9429036935482","Registered","2006-06-15","","AsureQuality Limited","No","","","","","1 Edgehaven Lane, Otakiri","Whakatane","Whakatane District Council","1","Whakatane District Council","N/A","N/A","Animal Consumption, Human Consumption","Bee products, Beeswax, Honey","","Blending/mixing, Extraction, Melting, Transport",""
"1LINMEATS/01","Risk Management Programme","Dual operator butcher","Deutsches Eck Limited","","9429032787665","Registered","2011-11-15","","Ministry for Primary Industries - Verification Services","No","","","","","6/9 Gerald Street","Lincoln","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Poultry, Red meat","","Boning/cutting, Boning/cutting;Refrigeration, Dual Operator butchering, Formulation, Refrigeration, Salting/curing/brining, Size reduction, Smoking, Thermal processing other than in-container retorting/UHT",""
"1LNZ/01","Risk Management Programme","Stores - Cold and Dry","Lawand (New Zealand) Limited","","9429047127272","Registered","2023-09-12","","Ministry for Primary Industries - Verification Services","No","","","","","Unit C, 35 Keeling Road, Henderson","Auckland","Auckland Council","1","Auckland Council","1LNZ","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Bee products, Dairy products, Fats/oils, Non-AP","","Non-refrigerated storage (stand-alone)",""
"1OTAKIMEAT/01","Risk Management Programme","Dual operator butcher","Tender Cuts Limited","Saville's Gourmet Butchery","9429052362194","Registered","2020-09-08","","Ministry for Primary Industries - Verification Services","No","","","","","294 Oxford Street","Levin","Horowhenua District Council","1","Horowhenua District Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Poultry, Red meat","","Boning/cutting, Dual Operator butchering, Refrigeration, Thermal processing other than in-container retorting/UHT",""
"1S2SL/01","Risk Management Programme","Custom","One Sheep Two Sheep Limited","","9429048742528","Registered","2022-12-14","","FSQSNZ LIMITED","No","","","","","292 Days Road","Springston","Selwyn District Council","1","Selwyn District Council","1S2SL","N/A","Animal Consumption, Human Consumption","Dairy material, Dairy products, Unpasteurised milk products - milk & cream","","Collection, Refrigerated storage (processes & receives external product), Refrigeration",""
"1SR/01","Risk Management Programme","Dual operator butcher, Dual operator butcher - Attachment U, Meat at Stalls","Scottys Meats 1 Limited","","9429030722583","Registered","2023-04-04","","Ministry for Primary Industries - Verification Services","No","","","","","2 Kansas Street","Martinborough","South Wairarapa District Council","2","South Wairarapa District Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Eggs, Fish, Non-AP, Poultry, Red meat","","Boning/cutting, Boning/cutting;Formulation;Meat at stalls;Refrigeration;Salting/curing/brining;Size reduction;Smoking;Thermal processing other than in-container retorting/UHT, Dual Operator butchering, Meat at stalls, Refrigerated storage (processes & receives external product), Refrigeration, Retail sale, Transport",""
"1SWEETLIFE/01","Risk Management Programme","Bee products - Bulk honey storage","The SweetLife 2021 Limited","","9429049513523","Registered","2023-03-10","","AsureQuality Limited","No","","","","","506C McLaren Falls Road, RD 1","Tauranga","Tauranga City Council","1","Tauranga City Council","N/A","N/A","Human Consumption","Bee products, Beeswax, Comb honey, Honey","","Blending/mixing, Extraction, Melting, Non-refrigerated storage (processes & receives external product), Transport, Wrapping",""
"200/01","Risk Management Programme","Dairy - Cheese domestic supply, Dairy - Ice cream domestic supply, Farm dairies - Domestic supply","Merrall MacNeille","Holy Cow","","Registered","2020-07-17","","Ministry for Primary Industries - Verification Services","No","","","","","101 Reynoldstown Road","Port Chalmers","Dunedin City Council","1","Dunedin City Council","200","N/A","Human Consumption","Dairy material, Dairy products, Fermented milk products, Frozen milk products, Milk & cream, Soft & semi-soft cheese (MSNF > 60%)","Farm Dairy","Collection, Fermentation, Filtration, Refrigerated storage (processes & receives external product), Refrigeration, Salting/curing/brining, Separation, Thermal processing other than in-container retorting/UHT",""
"2005/01","Risk Management Programme","Custom","Seadragon Marine Oils Limited","","9429030851788","Registered","2023-05-25","","Ministry for Primary Industries - Verification Services","No","","","","","12 Nayland Road, Stoke","Nelson","Nelson City Council","2","Nelson City Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Fats/oils, Fish, Fish oil, Non-AP","","Blending/mixing, Extraction, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (processes & receives external product);Packing/repacking, Pharmaceutical/biological processing, Refining, Refrigeration, Thermal processing other than in-container retorting/UHT, Transport",""
"2007STEENS/01","Risk Management Programme","Bee products - Honey and dried pollen processing","P.A. & S.C. Steens Limited","","9429037313098","Registered","2022-06-23","","AsureQuality Limited","No","","","","","298 Manaia Road, RD 5","Masterton","Masterton District Council","1","Masterton District Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Bee products, Beeswax, Honey","","Blending/mixing, Extraction, Melting, Non-refrigerated storage (processes & receives external product), Transport",""
"205CC/01","Risk Management Programme","Custom","Cilantro Cheese Limited","","9429031419369","Registered","2023-05-15","","FSQSNZ LIMITED","No","","","","","10 Bisley Road, Ruakura","Hamilton","Hamilton City Council","1","Hamilton City Council","205CC","N/A","Animal Consumption, Human Consumption, Not for human or animal consumption","Dairy material, Dairy products, Fermented milk products, Firm and hard cheese (MSNF < 60%), Frozen milk products, Milk & cream, Preserved milks, Soft & semi-soft cheese (MSNF > 60%)","","Collection, Concentration, Drying/reduction of water activity, Evaporation, Fermentation, Filtration, Non-refrigerated storage (processes & receives external product), Refrigerated storage (processes & receives external product), Refrigeration, Salting/curing/brining, Thermal processing other than in-container retorting/UHT, Transport",""
"2093/01","Risk Management Programme","Custom","New Zealand Dairy Dessert Company Limited","Appleby Farms","9429037851224","Registered","2023-01-12","","AsureQuality Limited","No","","","","","26A McMahon Street, Stoke","Nelson","Nelson City Council","1","Nelson City Council","2093","N/A","Human Consumption","Dairy material, Dairy products, Fermented milk products, Frozen milk products, Non-AP","","Blending/mixing, Blending/mixing;Formulation;Non-refrigerated storage (processes & receives external product);Refrigerated storage (processes & receives external product);Refrigeration;Thermal processing other than in-container retorting/UHT;Transport, Fermentation, Formulation, Labelling, Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Thermal processing other than in-container retorting/UHT, Transport",""
"2094/01","Risk Management Programme","Dairy - Liquid milk domestic supply, Dairy - Yoghurt domestic supply","Gopals Sweets & Snacks Limited","","9429034691298","Registered","2022-12-05","","AsureQuality Limited","No","","","","","21 Subway Road, Pukekohe","Auckland","Auckland Council","1","Auckland Council","2094","N/A","Human Consumption","Dairy products, Fermented milk products, Milk & cream","","Acidification, Thermal processing other than in-container retorting/UHT",""
"209AVENUE/01","Risk Management Programme","Chicken producers","Stelco Poultry Limited","","9429031580564","Registered","2023-10-30","","Quality Consultants New Zealand Limited","No","","","","","151 Hickford Road,RD 13","Foxton","Horowhenua District Council","1","Horowhenua District Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"2102/01","Risk Management Programme","Custom","Argenta Manufacturing Limited","","9429033971360","Registered","2020-03-19","","Ministry for Primary Industries - Verification Services","No","","","","","2 Sterling Avenue, Manurewa","Auckland","Auckland Council","1","Auckland Council","2102","N/A","Animal Consumption","Dairy products, Red meat","","Blending/mixing, Blending/mixing;Formulation;Packing/repacking;Size reduction, Formulation, Labelling, Non-refrigerated storage (processes & receives external product), Packing/repacking, Size reduction",""
"2107/01","Risk Management Programme","Stores - Cold and Dry","New Zealand Health Manufacturing Limited","","9429040994253","Registered","2022-09-13","","Ministry for Primary Industries - Verification Services","No","","","","","78A Richard Pearse Drive, Mangere","Auckland","Auckland Council","1","Auckland Council","2107","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Dairy products, Non-AP","","Non-refrigerated storage (stand-alone), Non-refrigerated storage (stand-alone);Transport, Transport",""
"2175/01","Risk Management Programme","Custom","Keytone Enterprises (NZ) Company Limited","","9429031148023","Registered","2023-07-03","","FSQSNZ LIMITED","No","","","","","17 Hynds Drive","Christchurch","Christchurch City Council","1","Christchurch City Council","KEYTONE2","N/A","Animal Consumption, Human Consumption","Colostrum products, Dairy products, Milk powders, Non-AP, Nutritional powders excl IF & FOF, Speciality powders, Whey products","","Blending/mixing, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (stand-alone), Packing/repacking, Product Development, Transport",""
"2184/01","Risk Management Programme","Dairy - Liquid milk domestic supply, Farm dairies - Export eligible milk","Raine Farms Limited","","9429037420048","Registered","2023-01-12","","AsureQuality Limited","No","","","","","467 Suffolk Road, Stoke","Nelson","Nelson City Council","1","Nelson City Council","2184","N/A","Animal Consumption, Human Consumption","Dairy material, Dairy products, Milk & cream","Farm Dairy","Collection, Refrigerated storage (processes & receives external product), Refrigeration, Thermal processing other than in-container retorting/UHT, Transport",""
"2186/01","Risk Management Programme","Custom","New Zealand Health Manufacturing Limited","","9429040994253","Registered","2023-08-02","","Ministry for Primary Industries - Verification Services","No","","","","","7 Pavilion Drive, Airpark 2, Business Centre, Mangere","Auckland","Auckland Council","1","Auckland Council","2186","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Colostrum products, Dairy products, Deer Velvet, Eggs, Fish, Gelatine, Lactose, Milk powders, Milk proteins, Poultry, Red meat, Speciality powders, Whey products","","Blending/mixing, Blending/mixing;Packing/repacking;Supplement manufacture, Blending/mixing;Supplement manufacture, Encapsulation/tabletting, Labelling, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (processes & receives external product);Refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Supplement manufacture",""
"2188/01","Risk Management Programme","Custom","Dairy Products NZ Limited","","9429030629837","Registered","2023-08-17","","FSQSNZ LIMITED","No","","","","","19 Rawson Way, Takanini","Auckland","Auckland Council","1","Auckland Council","2188","N/A","Animal Consumption, Human Consumption, Sensitive Populations","Dairy products, Milk & cream, Milk & cream based formulations, Milk powders, Non-AP, Speciality powders","","Blending/mixing, Formulation, Formulation;Non-refrigerated storage (processes & receives external product);Refrigerated storage (processes & receives external product), Labelling, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigeration, Ultra-High Temperature",""
"2198/01","Risk Management Programme","Dairy Products, Farm dairies - Domestic supply","Wairiri Buffalo Limited","","9429048755238","Registered","2022-12-16","","FSQSNZ LIMITED","No","","","","","140 Davies Road, RD 1","COALGATE","Selwyn District Council","1","Selwyn District Council","2198","N/A","Human Consumption","Butter, Dairy material, Dairy products, Fermented milk products, Firm and hard cheese (MSNF < 60%), Milk & cream, Soft & semi-soft cheese (MSNF > 60%)","Farm Dairy","Acidification, Blending/mixing, Collection;Transport, Formulation, Refrigerated storage (processes & receives external product), Refrigeration, Salting/curing/brining, Thermal processing other than in-container retorting/UHT, Transport",""
"2203/01","Risk Management Programme","Custom","Wimpex Limited","","9429000075213","Registered","2023-06-07","","Ministry for Primary Industries - Verification Services","No","","","","","3 Innovation Road, Waterloo Business Park, Islington","Christchurch","Christchurch City Council","1","Christchurch City Council","2204","N/A","Animal Consumption, Human Consumption","Anhydrous milk fat, Butter, Colostrum products, Dairy products, Milk powders, Milk proteins, Non-AP, Nutritional powders excl IF & FOF, Speciality powders, Whey products","","Blending/mixing, Blending/mixing;Formulation, Encapsulation/tabletting, Formulation, Labelling, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (stand-alone), Refrigeration, Repacking (product not exposed), Transport",""
"255/01","Risk Management Programme","Custom","New Zealand Food Innovation Network Limited","","9429031592093","Registered","2023-09-25","","Ministry for Primary Industries - Verification Services","No","","","","","28 Verissimo Drive, Airport Oaks","Auckland","Auckland Council","1","Auckland Council","255","N/A","Animal Consumption, Human Consumption, Not for human or animal consumption, Sensitive Populations","Anhydrous milk fat, Animal products (non-dairy), Bee products, Bee venom, Beeswax, Bivalve molluscan shellfish, Butter, Casein, Caseinate, Colostrum products, Comb honey, Complex lipids, Cottage cheese, Cream cheese, Dairy products, Deer Velvet, Eggs, Farmed paua, Fats/oils, Fermented milk products, Firm and hard cheese (MSNF < 60%), Fish, Frozen cream, Frozen milk products, Gastropods (other than paua), Gelatine, Hides & Skins, Honey, Hydrolysates, Kina, Lactose, Milk & cream, Milk & cream based formulations, Milk fat products, Milk powders, Milk proteins, Non-AP, Nutritional powders excl IF & FOF, Paua, Pollen, Poultry, Preserved milks, Processed cheese, Propolis, Red meat, Royal jelly, Soft & semi-soft cheese (MSNF > 60%), Speciality powders, UCFM, Whey products","Drying, Grinding, Shucking, Slicing","Acidification, Acidification;Aseptic packaging;Blending/mixing;Concentration;Drying/reduction of water activity;Encapsulation/tabletting;Evaporation;Extraction;Fermentation;Formulation;High pressure processing;Hydrolysis;In container retorting;Labelling;Non-refrigerated storage (processes & receives external product);Packing/repacking;Product Development;Refrigerated storage (processes & receives external product);Refrigeration;Repacking (product not exposed);Separation;Size reduction;Supplement manufacture;Thermal processing other than in-container retorting/UHT;Ultra-High Temperature, Acidification;Aseptic packaging;Blending/mixing;Drying/reduction of water activity;Extraction;Fermentation;Formulation;High pressure processing;Hydrolysis;In container retorting;Pharmaceutical/biological processing;Salting/curing/brining;Size reduction;Supplement manufacture;Thermal processing other than in-container retorting/UHT;Ultra-High Temperature, Aseptic packaging, Aseptic packaging;In container retorting;Ultra-High Temperature, Blending/mixing, Blending/mixing;Drying/reduction of water activity;Extraction;Thermal processing other than in-container retorting/UHT, Blending/mixing;Drying/reduction of water activity;Formulation;Supplement manufacture;Thermal processing other than in-container retorting/UHT, Drying/reduction of water activity, Drying/reduction of water activity;Fermentation;Salting/curing/brining, Extraction, Fermentation, Formulation, High pressure processing, Hydrolysis, In container retorting, Industrial Use, Labelling, Melting, Non-refrigerated storage (processes & receives external product), Packing/repacking, Pharmaceutical/biological processing, Product Development, Refrigerated storage (processes & receives external product), Refrigeration, Repacking (product not exposed), Salting/curing/brining, Size reduction, Supplement manufacture, Thermal processing other than in-container retorting/UHT, Ultra-High Temperature",""
"25LOFTY/01","Risk Management Programme","Dual operator butcher","Paul Edward Hurrell","Te Karaka Meat Traders","","Registered","2005-07-19","","Ministry for Primary Industries - Verification Services","No","","","","","25 Library Road, Te Karaka","Gisborne","Gisborne District Council","1","Gisborne District Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Poultry, Red meat","","Boning/cutting, Boning/cutting;Refrigeration, Collection, Dual Operator butchering, Formulation, Refrigeration, Salting/curing/brining, Size reduction, Smoking, Thermal processing other than in-container retorting/UHT",""
"2600/01","Risk Management Programme","Custom","Megadairy Limited","","9429042194859","Registered","2023-02-17","","Ministry for Primary Industries - Verification Services","No","","","","","26 Waipareira Avenue, Henderson","Auckland","Auckland Council","1","Auckland Council","2600","N/A","Animal Consumption, Human Consumption, Sensitive Populations","Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Colostrum products, Dairy products, Eggs, Fish, Milk powders, Non-AP, Nutritional powders excl IF & FOF, Red meat, Speciality powders, Whey products","","Blending/mixing, Blending/mixing;Encapsulation/tabletting;Formulation;Labelling;Non-refrigerated storage (processes & receives external product);Packing/repacking;Product Development;Refrigerated storage (processes & receives external product);Supplement manufacture;Transport, Blending/mixing;Encapsulation/tabletting;Formulation;Labelling;Packing/repacking;Product Development;Supplement manufacture, Encapsulation/tabletting, Formulation, Labelling, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (stand-alone), Packing/repacking, Product Development, Refrigerated storage (processes & receives external product), Supplement manufacture, Transport",""
"280766/01","Risk Management Programme","Dual operator butcher","M21 Meats Limited","","9429039374295","Registered","2023-08-01","","Ministry for Primary Industries - Verification Services","No","","","","","Spa Gate Shopping Centre,Lower Spa Road","Taupo","Taupo District Council","1","Taupo District Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Ostriches & emus, Poultry, Red meat","","Boning/cutting, Boning/cutting;Refrigeration;Smoking;Thermal processing other than in-container retorting/UHT, Collection, Dual Operator butchering, Formulation, Refrigeration, Salting/curing/brining, Size reduction, Smoking, Thermal processing other than in-container retorting/UHT",""
"281161/01","Risk Management Programme","Dual operator butcher","Michael Patrick Jones","Geraldine Butchery","","Registered","2019-10-24","","Ministry for Primary Industries - Verification Services","No","","","","","6 Wilson Street","Geraldine","Timaru District Council","1","Timaru District Council","N/A","N/A","Animal Consumption, Human Consumption","Poultry, Red meat","","Boning/cutting, Boning/cutting;Drying/reduction of water activity;Dual Operator butchering;Formulation;Refrigeration;Salting/curing/brining;Size reduction;Thermal processing other than in-container retorting/UHT, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Thermal processing other than in-container retorting/UHT",""
