"Establishment number","Name of the operator","Location Address","Mailing Address","Function Codes","Telephone Number","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
12,"LES VIANDES DU BRETON INC.","150; CHEMIN DES RAYMOND   RIVIERE-DU-LOUP QC G5R 5X8","   ","1d 3x 6x 11ADFGHKQRSVO","(418) 863-6711 (418)63-6767/F Ext. 351",47.850447,-69.535488,0.5,place,,,"Riviere-Du-Loup, QC G5R",,,,,Riviere-Du-Loup,QC,,G5R,CA,"CanVec+ by Natural Resources Canada"
13,"GROBER INC.Also Doing Business As Name:   DELFT BLUE : GRODELL FOODS","425-435 DOBBIE DRIVE   CAMBRIDGE ON N1T 1S9","   "," 3fgx 6fgx 9B/US 11ADK","(519) 740-8325 (519) 622-9075/F",43.36804,-80.282871,0.99,rooftop,"425 Dobbie Dr",,"Cambridge, ON N1T",425,"Dobbie Dr",,,Cambridge,ON,,N1T,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
014C,"SOFINA FOODS INC./ALIMENTS SOFINA INC.","145 EAST DRIVE   BRAMALEA ON L6T 1B9","   "," 6fx 9B 11AD","(905) 790-3737 (905) 790-1416/F (   )    -",43.714035,-79.685534,1,rooftop,"145 East Dr",,"Brampton, ON L6T",145,"East Dr",,,Brampton,ON,,L6T,CA,"City of Brampton (City of Brampton CC-BY 4.0)"
17,"FLINTSHIRE FARMS INC.","PART LOTS 21 & 22; CON. VI KALADAR TOWNSHIP  LENNOX/ADDINGTON COUNTY ON K0H 1P0","79 PHEASANT FARM ROAD   FLINTON ON K0H 1P0","1fgh 3fg 6fg 11D","(613) 336-8552 (613) 336-9218/F (613) 336-8144/I",44.599254,-77.176173,0.5,place,,,"Kaladar, ON K0H",,,,,Kaladar,ON,,K0H,CA,"CanVec+ by Natural Resources Canada"
20,"WRENPORT INVESTMENTS INC.Also Doing Business As Name:   FLEISH MEAT PROCESSORS : BEST MEATS","33 GUNNS ROAD   TORONTO ON M6N 4X9","   "," 3fx 6fx 11DK","(416) 769-1788 (416) 769-0649/F",43.673673,-79.472037,1,rooftop,"33 Gunns Rd",,"Toronto, ON M6N",33,"Gunns Rd",,,Toronto,ON,,M6N,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
21,"LACOMBE MEAT RESEARCH CENTRE","RESEARCH STATION-AGRICULTURE CANADA; SE. 1/4; SEC. 24 TWP 40; RG 27; W.4  LACOMBE AB T4L 1W1","6000 C&E TRAIL   LACOMBE AB T4L 1W1","1acdh 3x 6x","(403) 782-8100 (403) 782-6120/F (403) 782-8128/I",52.466849,-113.707114,0.5,place,,,"Lacombe, AB T4L",,,,,Lacombe,AB,,T4L,CA,"CanVec+ by Natural Resources Canada"
22,"ABATTOIR AGRI-BIO INC.","999 RUE INDUSTRIELLE   ST-AGAPIT QC G0S 1Z0","   ","1fh 3f 11AD","(418) 888-4554 (418) 888-4770/F (418) 888-3161/I",46.567664,-71.444343,1,rooftop,"999 Rue Industrielle",,"Saint-Agapit, QC G0S",999,"Rue Industrielle",,,Saint-Agapit,QC,,G0S,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
23,"THE SASKATCHEWAN FOOD INDUSTRY DEVELOPMENT CENTRE INC.Also Doing Business As Name:   THE FOOD CENTRE","52 INNOVATION BOULEVARD   SASKATOON SK S7N 2V3","2335 SCHUYLER STREET   SASKATOON SK S7M 5V1"," 3fx 6fx","(306) 933-7555 (306) 933-7208/F (306) 975-6442/I",52.137006,-106.631574,0.87,nearest_rooftop_match,"44 Innovation Blvd",,"Saskatoon, SK S7N",44,"Innovation Blvd",,,Saskatoon,SK,,S7N,CA,Saskatoon
25,"EXCELDOR FOODS LTD.","478 - 14TH STREET   HANOVER ON N4N 1Z9","PO BOX 220   HANOVER ON N4N 3C6","1f 3f 6fx 11AD","(519) 364-1770 (519) 364-7745/F",44.157287,-81.022869,1,range_interpolation,"478 14th St",,"Hanover, ON N4N",478,"14th St",,,Hanover,ON,,N4N,CA,"Address Ranges"
26,"TONY'S MEATS LTD.Also Doing Business As Name:   TONY'S MEATS","475 LANDING ROAD LOT# 00098825  ANTIGONISH NS B2G 2L2","475 LANDING ROAD   ANTIGONISH NS B2G 2L2"," 3x 6fx 11ADK","(902) 863-1545 (902) 863-9313/F",45.632216,-61.961876,1,rooftop,"475 Landing Rd","Lot 00098825","Antigonish, NS B2G",475,"Landing Rd",Lot,00098825,Antigonish,NS,,B2G,CA,"Cape Breton (Contains information licensed under the Open Data & Information Government Licence – PVSC & Participating Municipalities)"
28,"FRANZ TURKEY FARMS LTD.*","LOT 1; CON. 9 MOOR TOWNSHIP R.R.#4 PETROLIA ON N0N 1R0","2950 PLANK ROAD   PETROLIA ON N0N 1R0"," 3f 6f","(519) 864-1071 (519) 864-1460/F",43.101687,-82.111611,0.6,street_center,"Ken St",,"Lambton Shores, ON N0N",,"Ken St",,,"Lambton Shores",ON,,N0N,CA,"CanVec+ by Natural Resources Canada"
29,"9256-5589 QUEBEC INC.Also Doing Business As Name:   CHAI CONTINENTAL : CONTINENTAL STRICKLY KOSHER : KOSHER CLASSIQUE : C & G MEAT PACKAGING : MARCONI MEAT : FAMOUS KOSHER","8593 CHEMIN DELMEADE   MONT-ROYAL QC H4T 1M1","   "," 3fx 6fx 11D","(514) 522-1196 (514) 522-1198/F",45.491318,-73.677838,1,rooftop,"8593 Chemin Delmeade",,"Mont-Royal, QC H4T",8593,"Chemin Delmeade",,,Mont-Royal,QC,,H4T,CA,Montreal
31,"PROVISIONS MARQUIS INC.Also Doing Business As Name:   REINE DES SAUCES","11515; BOUL. LOUIS-H.-LAFONTAINE   MONTREAL QC H1E 7M1","   "," 6x","(514) 643-4341 (514) 643-4341/F",45.619393,-73.599903,0.5,place,,,"Montreal, QC H1E",,,,,Montreal,QC,,H1E,CA,"CanVec+ by Natural Resources Canada"
32,"LES VIANDES BERNARD CENTRALE INC./CENTRAL BERNARD BUTCHERS CORP. INC.Also Doing Business As Name:   LES VIANDES CENTRAL BERNARD : LES VIANDES CENTRAL BERNARD INC.","2001; 32 IEME AVENUE   LACHINE QC H8T 3J1","   "," 3f 6f 9B/US 11D","(514) 780-8585 (514) 780-8590/F",45.462323,-73.70916,0.93,rooftop,"2001 Ave 32E",,"Lachine, QC H8T",2001,"Ave 32E",,,Lachine,QC,,H8T,CA,Montreal
36,"EXPRESCO FOODS INC./ALIMENTS EXPRESCO INC.","8205; ROUTE TRANSCANADIENNE   ST-LAURENT QC H4S 1S4","   "," 6fx 11DA","(514) 344-9443 (514) 344-1880/F",45.490341,-73.723889,1,rooftop,"8205 Route Transcanadienne",,"Saint-Laurent, QC H4S",8205,"Route Transcanadienne",,,Saint-Laurent,QC,,H4S,CA,Montreal
37,"HUDSON VALLEY FARMS (CA) ULCAlso Doing Business As Name:   Fermes Hudson Valley (CA)/ Hudson Valley Produits de canard","228 RUE PRINCIPALE   ST-LOUIS DE GONZAGUE QC J0S 1T0","   ","1f 3f 6f 11DKA","(450) 377-8766 (450) 377-1404/F",45.210517,-74.013726,1,rooftop,"228 Rue Principale",,"Saint-Louis-De-Gonzague, QC J0S",228,"Rue Principale",,,Saint-Louis-De-Gonzague,QC,,J0S,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
38,"JBS FOOD CANADA ULC/ALIMENT JBS CANADA ULC","HIGHWAY 1 WEST   BROOKS AB T1R 1C6","P.O. BOX 1868   BROOKS AB T1R 1C6","1a 3x 6x 8Y 11ACDGKLMQRSVIH","(403) 362-3457 (403) 501-2100/F (403) 362-2482/I",50.56256,-111.906089,0.5,place,,,"Brooks, AB T1R",,,,,Brooks,AB,,T1R,CA,"CanVec+ by Natural Resources Canada"
39,"UNIDINDON INC./UNITURKEY INC.","3380 RUE PRINCIPALE   ST-JEAN BAPTISTE DE ROUVILLE QC J0L 2B0","   ","1f 3f 6f 11ADG","(450) 467-2875 (450) 467-8334/F (450) 467-4402/I",45.517334,-73.130577,1,rooftop,"3380 Rue Principale",,"Saint-Jean-Baptiste, QC J0L",3380,"Rue Principale",,,Saint-Jean-Baptiste,QC,,J0L,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
039A,"OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P. : SUPRALIMENT S.E.C.","770; RUE CLAUDE   ST-JEAN-SUR RICHELIEU QC J3B 2W5","   "," 3x 6fx 11ADF","(450) 347-2241 (450) 347-2482/F (450) 347-0985/I",45.30421,-73.292505,1,rooftop,"770 Rue Claude",,"Saint-Jean-Sur-Richelieu, QC J3B",770,"Rue Claude",,,Saint-Jean-Sur-Richelieu,QC,,J3B,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
039B,"OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P. :SUPRALIMENT S.E.C.","3250 BOULEVARD LAURIER EST   ST-HYACINTHE QC J2R 2B6","   "," 3f 6fx 11ADG","(450) 773-6661 (450) 773-6148/F",45.637219,-72.914202,1,rooftop,"3250 Boul Laurier E",,"Saint-Hyacinthe, QC J2R",3250,"Boul Laurier E",,,Saint-Hyacinthe,QC,,J2R,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
039D,"OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P.: SUPRALIMENT S.E.C.","580 RUE LAFERRIERE   BERTHIERVILLE QC J0K 1A0","   ","1f 3f 6f 11ADGRV","(450) 836-1651 (450) 836-7502/F (450) 836-7983/I",46.085864,-73.180445,1,rooftop,"580 Rue Laferrière",,"Berthierville, QC J0K",580,"Rue Laferrière",,,Berthierville,QC,,J0K,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
039G,"OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P. : SUPRALIMENT S.E.C.","249; RUE PRINCIPALE   ST-DAMASE QC J0H 1J0","   ","1fi 3f 6f 11ADGRV","(450) 797-2691 (450) 797-2469/F (450) 797-2463/I",45.522365,-73.014374,1,rooftop,"249 Rue Principale",,"Saint-Damase, QC J0H",249,"Rue Principale",,,Saint-Damase,QC,,J0H,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
039J,"OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. - ALIMENTS PRINCE S.E.C./PRINCE FOODS; L.P. - SUPRALIMENT S.E.C.","318 ORENDA ROAD   BRAMPTON ON L6T 1G1","   BC "," 3f 6f 11D","(450) 771-0400 (450) 773-6436/F Ext. 45/I",43.70243,-79.702409,1,rooftop,"318 Orenda Rd",,"Brampton, ON L6T",318,"Orenda Rd",,,Brampton,ON,,L6T,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
40,"ALIMENTS PR�MONT INC.Also Doing Business As Name:   PREMONT FOODS INC.","1505 ROUTE LUPIEN   STE-ANGELE DE PR�MONT QC J0K 1R0","   "," 3x 6x 11ADKFQ","(819) 268-2820 (819) 268-2825/F (   )    -",46.379134,-73.031612,1,rooftop,"1505 Rte Lupien","Ste ANGELE","Sainte-Angele-De-Premont, QC J0K",1505,"Rte Lupien",Ste,ANGELE,Sainte-Angele-De-Premont,QC,,J0K,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
43,"J & L BEEF LTD.Also Doing Business As Name:   SUNRISE POULTRY","17565 - 65A AVENUE   SURREY BC V3S 8E7","   "," 3fx 6fx 11ADGK","(604) 576-0717 (604) 576-0726/F (604) 576-3198/I",49.121659,-122.73679,1,rooftop,"17565 65A Ave",,"Surrey, BC V3S",17565,"65A Ave",,,Surrey,BC,,V3S,CA,"City of Surrey Open Government License - Surrey 2.0"
44,"SELECT FOOD PRODUCTS LTD.","120 SUNRISE AVENUE   TORONTO ON M4A 1B4","   "," 2fx 6fx 11D","(416) 759-9316 (416) 759-9310/F",43.718664,-79.310758,1,rooftop,"120 Sunrise Ave",,"North York, ON M4A",120,"Sunrise Ave",,,"North York",ON,,M4A,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
