company_name,location_count,dba_count,total_references
WRL Foods,0,3,3
"Bryan Foods, Inc.",0,3,3
NSP Quality Meats,0,3,3
Alderfer,0,3,3
Home Kitchen,0,3,3
Indiana Kitchen,0,3,3
Iowa Turkey Growers Coop,0,3,3
HEB,0,3,3
Coastal Protein,0,3,3
Mountaire Farms,1,2,3
Janet Davis,0,3,3
Carroll County,0,3,3
Plumrose USA,1,2,3
Jack Link's Protein Snacks,1,2,3
Jack Link's Beef Jerky,1,2,3
Allen Brothers,1,2,3
Buckhead Beef,1,2,3
Cargill Beef,1,2,3
"Williams Sausage Company, Inc.",1,2,3
Gordon Food Service,1,2,3
Cargill Value Added Meats,1,2,3
Thompson Farms,1,2,3
United Cold Storage,1,2,3
Choctaw Maid,0,3,3
Stark Provision,0,3,3
Ole Carolina Brand & Design,0,3,3
Colonia,0,3,3
Cavanaugh Lakeview Farms,0,3,3
Eastwood Foods,0,3,3
Greenwich,0,3,3
Kansas City Sausage,0,3,3
"Johnsonville Sausage, LLC",0,3,3
Ajinomoto Windsor,0,3,3
Sunland Poultry Co.,0,3,3
Shenandoah,0,3,3
Madison Processed Meats,0,3,3
Lorrisa's Kitchen,0,3,3
Cooper Farms,0,3,3
Oberto Sausage Company,0,3,3
Stock Yards Meat Packing Company,0,3,3
Oberto Brands,0,3,3
Aidells Sausage Co.,0,3,3
"Link Snacks, Inc.",0,3,3
Norwestern Deli,0,3,3
LSG Sky Foods,0,3,3
"Tyson Sales & Distribution, Inc.",1,2,3
Cookin Good,0,3,3
Rockingham,0,3,3
Hatfield Quality Meats,0,3,3
JBS USA LLC,0,3,3
K2D Foods,0,3,3
Bacon County Smokehouse Brand,0,3,3
Colorado Premium,0,3,3
Empire Packing,0,3,3
Sustainable Swine Resources,0,3,3
"JBS Packerland, Inc.",0,3,3
Carolina Fare,0,3,3
Bachoco USA,0,3,3
Tyson Sales and Distribution,0,3,3
Spring Farms,0,3,3
Bonanza,0,3,3
MCC,0,3,3
Essentia Protein Solutions,0,3,3
Springer Mountain Farms,0,3,3
Publix,0,3,3
Thrive Foods,0,3,3
Little Lady Foods,0,3,3
Amish Country Brand,0,3,3
"Johnsonville Foods Company, Inc.",0,3,3
Natural Food Holdings,0,3,3
HV Farms,0,3,3
Sioux-Preme Pork Products,0,3,3
Volpi Foods,0,3,3
Giovanni Volpi,0,3,3
Indiana Packers,0,3,3
"Clovervale Farms, Inc.",0,3,3
"Advance Food Company, LLC",0,3,3
WCS Logistics,0,3,3
"Foundation Food Group, LLC",0,3,3
"Tyson Farms, Inc",0,3,3
Birchwood Foods,0,3,3
Arkie Chicken,0,3,3
Deli Express,0,3,3
"Faribault Foods, Inc.",2,1,3
Tyson,0,3,3
"Reser's Fine Foods, Inc.",3,0,3
Fort Worth Meat Packers LLC,3,0,3
Clean Eatz Kitchen,3,0,3
"Americold ""dba"" Nordic Logistics and Warehousing, LLC",3,0,3
"Crider, Inc.",3,0,3
Request Foods Inc.,3,0,3
Mistica Foods LLC,3,0,3
Vanee Foods Company,3,0,3
Miracapo Pizza Company LLC,3,0,3
Twin Rivers Foods,3,0,3
Burris Logistics,3,0,3
F&S Produce West LLC dba F&S Fresh Foods,3,0,3
SK Food Group,3,0,3
Nor-Am Cold Storage,3,0,3
FlexXray LLC,3,0,3
Thrive Life,3,0,3
"International Provisions, Inc.",3,0,3
"Cedarlane Natural Foods, LLC",3,0,3
Bar-S Foods Co.,3,0,3
JBS USA,3,0,3
Americold dba Nordic Logistics and Warehousing LLC,3,0,3
"Clemens Food Group, LLC",3,0,3
"Nuovo Pasta Productions, Ltd.",3,0,3
Corfini Meat and Seafood,3,0,3
"Perdue Foods, LLC.",3,0,3
"Consolidated Catfish Producers, LLC",2,1,3
Plainville Farms,2,1,3
"George's Processing, Inc.",2,1,3
"AMPC, Inc.",2,1,3
Tri Eagle LLC,2,1,3
"JBS Souderton, Inc.",2,1,3
Standard Meat Company,2,1,3
Tyson Foods Inc.,2,1,3
"Grand Prairie Foods, Inc.",2,1,3
Blount Fine Foods,2,1,3
Tyson Foods Inc,2,1,3
Coastal Pacific Food Distributors,3,0,3
"Nestle USA, Inc.",2,1,3
"Americold Logistics, Inc.",3,0,3
Wolverine Packing Company,3,0,3
Cold Terminal of Laredo LLC,3,0,3
"Alatrade Foods, Inc.",3,0,3
Rich Products Corporation,3,0,3
Oberto Snacks Inc.,3,0,3
"Farbest Foods, Inc.",3,0,3
Independent Meat Company,2,1,3
E.A. Sween Company,3,0,3
Fieldale Farms Corporation,3,0,3
"Cargill Kitchen Solutions, Inc.",2,1,3
"Deb El Food Products, LLC",3,0,3
Carniceria Camacho,2,1,3
Colorado Premium Foods,3,0,3
"United States Cold Storage, LP",3,0,3
Conagra Brands (Conagra Foods Packaged Foods LLC),3,0,3
Winchester Cold Storage,3,0,3
"Lopez Foods, Inc.",3,0,3
"The Wornick Company dba Baxters North America, Inc.",3,0,3
"Universal Pure, LLC",3,0,3
"ConAgra Brands, Inc.",3,0,3
Foster Poultry Farms LLC,3,0,3
Case Farms Processing,3,0,3
"Gold Creek Processing, LLC",3,0,3
"Papetti's Hygrade Egg Products, Inc.",3,0,3
"ConAgra Foods Packaged Foods, LLC",3,0,3
Gold Kist Farms,0,2,2
Pegasus Foods Inc.,1,1,2
Matador,0,2,2
Jack Link's,0,2,2
New Stockton Poultry,1,1,2
Van Hessen USA Operations LLC,0,2,2
Circle S Farms,1,1,2
Cagle's,0,2,2
County Post,0,2,2
Frickenschmidt Foods LLC,1,1,2
DuBonilha Sausage Company,1,1,2
JBS USA Foods Company,0,2,2
"A.N. Deringer, Inc.",1,1,2
Eat Well Stay Healthy,0,2,2
Gold Kist,0,2,2
Pilgrim's Pride,0,2,2
JBS Packerland Inc.,0,2,2
Uncle Charlie's Meats,1,1,2
Freezpak Logistics,0,2,2
Maestri d'Italia Inc.,2,0,2
Pizzeria Uno,0,2,2
Bell & Evans,0,2,2
Vertullo Imports,0,2,2
Charcuterie Artisans,0,2,2
"Farmland Foods, Inc",0,2,2
"The Smithfield Packing Company, Incorporated",0,2,2
Wampler Foods,0,2,2
Country Skillet,0,2,2
Trader Joe's,0,2,2
Advanced Brands,0,2,2
Gemini Foods,0,2,2
Perdue Farms,0,2,2
Tyson Foods,0,2,2
TFC Poultry,0,2,2
"Dreisbach, Cool Port",0,2,2
Chefs Choice,0,2,2
Shoreline,0,2,2
Indiana Packers Corp.,0,2,2
Indiana Packers Co.,0,2,2
GP Food Company,1,1,2
Custom Food Products,0,2,2
Bauman's Butcher Block,1,1,2
Columbia Farms,0,2,2
"Portillo's Food Service, LLC",0,2,2
Gary's Meat,1,1,2
Brush Locker,0,2,2
Variety Foods,0,2,2
Quirch Foods LLC,1,1,2
Smithfield Foods Inc.,0,2,2
Chino Valley Ranchers,1,1,2
John R. Daily Inc.,0,2,2
Chirpy's Barbecue,1,1,2
Copelli Finest,0,2,2
Kikiri Quirch,0,2,2
Brothers Choice,0,2,2
Cooper Foods,0,2,2
Great Value,0,2,2
Exel Inc.,2,0,2
"Transhumance Holding Co., Inc.",0,2,2
Dakota Provisions,0,2,2
Texas Smokehouse,0,2,2
Earl Campbell,0,2,2
Quirch Foods,1,1,2
Northwest Finest,0,2,2
Gold'n Plump,0,2,2
Inland Seafood,0,2,2
Heritage Farms,0,2,2
Kansas City Sausage Company,0,2,2
Armour Eckrich Meats LLC,0,2,2
Just Bare,0,2,2
RSF Inc dba FreezPak Logistics,2,0,2
Daniele Acquisition LLC,0,2,2
Wayne-Sanderson Farms LLC,0,2,2
Bull Boy,0,2,2
PureFoods Fresh Start,0,2,2
Mom's Meals NourishCare,0,2,2
Alle,0,2,2
"Armour Eckrich Meats, LLC.",0,2,2
Florida Beef Inc.,1,1,2
"Nueske's Meat Products, Inc.",1,1,2
Specialty Steak Service,1,1,2
Wholestone Prestage,0,2,2
Hudson Valley Chicken,0,2,2
Direct Source Meats,1,1,2
Tamahli,1,1,2
Fayman & Sorbello Food Group,0,2,2
Maker's Pride,0,2,2
Coronado,0,2,2
Golden State Foods,1,1,2
Fletcher's Fine Foods,0,2,2
Hudson Valley Foie Gras,0,2,2
Bluestem Hollow,0,2,2
Fatback,1,1,2
"DCW Casing, LLC",0,2,2
JR's Jerky Company,1,1,2
"CBC, Inc",0,2,2
Quality Packing Co.,0,2,2
First Street Cafe,1,1,2
Bryan Foods,0,2,2
"Avalon Meat Candy, LLC",1,1,2
Roxy,0,2,2
Aurelio's Quality Products,1,1,2
Country Corner,0,2,2
"Numeat Packing, Inc.",1,1,2
Northwestern Deli,0,2,2
Kevin's Natural Foods,0,2,2
The XCJ,0,2,2
XCJ,0,2,2
"Prairie Grove Farms of Iowa, LLC",0,2,2
Griffith Laboratories,0,2,2
Anmar Foods,1,1,2
Holmes Smokehouse,0,2,2
Dearborn Markets,0,2,2
Gold Creek Foods,0,2,2
Superior Brand Meats,0,2,2
Superior Brands Meats,0,2,2
Tennoak Farms,0,2,2
Agora,0,2,2
Gold Creek,0,2,2
Eat Fresco,0,2,2
Wald Family Foods,1,1,2
Gold Creek Processing,0,2,2
"American Foods Group, LLC",0,2,2
Bonduelle Fresh Americas,0,2,2
Free Bird,0,2,2
Quality Meats,0,2,2
Seaboard Farms,0,2,2
Seaboard Foods,0,2,2
Don Lee Farms,0,2,2
Dearborn Farms,0,2,2
"Nealey's Foods, Inc.",1,1,2
Gemstone Foods LLC,0,2,2
"Stefano Foods, Inc.",0,2,2
Daniele Holdco LLC,0,2,2
"The Smithfield Packing Co., Inc.",0,2,2
"Smithfield Foods, Inc",0,2,2
Waterhill Naturals,0,2,2
Thin 'n Trim,0,2,2
Old Neighborhood Foods,0,2,2
Mosner Family Brands,0,2,2
"Partidge Meats, Inc.",0,2,2
Global Village Foods,1,1,2
"Poultry Holdings, LLC",0,2,2
Stafford's Custom Meats,1,1,2
Glondo's Sausage Co.,1,1,2
Vienna Beef Ltd.,1,1,2
"Perdue Premium Meat Company, LLC",0,2,2
Far West Meats,1,1,2
Maxi Margo,0,2,2
"Simmons Foods, Inc.",0,2,2
Burgers' Smokehouse,0,2,2
Smokecraft,0,2,2
Perdue,0,2,2
World of Pies LLC,2,0,2
Mary Ellen's,1,1,2
Carnegie Deli,0,2,2
ECP Foods LLC,1,1,2
Carolina Fresh Foods,1,1,2
Trans Continental Cold Storage,0,2,2
Cattleman's Cut,0,2,2
McKenzie Natural Artisan Deli,0,2,2
Wisconsin River Meats,1,1,2
Mizzou Meat Market,0,2,2
"Marvel Specialties, Inc.",0,2,2
Ed Miniat LLC,1,1,2
U.S. Premium Beef,0,2,2
Sugar Ridge Farms,0,2,2
"Tip Top Poultry, Inc.",1,1,2
Wolf Pack Meats,1,1,2
Bethlehem Sausage Works,0,2,2
Butcher Made,0,2,2
Kraft Heinz Food Company,0,2,2
Ebels Meat Processing,1,1,2
Nestle,0,2,2
"Kraft Foods Group, Inc.",0,2,2
Martinez Brand Cracklings LLC,1,1,2
Al Fresco,0,2,2
Chef's Pantry,0,2,2
LaFrieda Meats Inc.,2,0,2
SHENANDOAH,0,2,2
"Advance Brands, LLC",0,2,2
Sanderson Farms LLC,0,2,2
Deli International,0,2,2
Tombstone Pizza Corporation,0,2,2
Nestle Brands Company,0,2,2
Nestle Brands Foodservice Company,0,2,2
Market House Meats,1,1,2
Nestle Pizza Division,0,2,2
Stouffer Foods,0,2,2
Stouffer's,0,2,2
New York State National,0,2,2
"Ebels Family Center, Inc.",1,1,2
Tyson Farms Inc,0,2,2
Carbone's Pizzeria,1,1,2
Willamette Egg Farms,1,1,2
Whidbey Island Seafood Co.,1,1,2
Los Galleguitos,1,1,2
Michael Foods Inc.,1,1,2
Kibberia Foods LLC,2,0,2
"Almena Meat Company, Incorporated",2,0,2
Bonfire Burritos LLC,1,1,2
Wicks Kitchens,1,1,2
Brett Anthony Foods,1,1,2
Alsager Meats,2,0,2
Reser's Fine Foods,2,0,2
Greco and Sons,1,1,2
Bob's Jerky For A Cause,1,1,2
Great Western Meats,1,1,2
Great American Foods,1,1,2
Wilmot Productions,1,1,2
Brazilian Taste,1,1,2
"Rudolph Foods Company, Inc.",2,0,2
"Bahar, LLC",1,1,2
Boutte's Boudin,1,1,2
Halpern's Steak and Seafood,1,1,2
Helmbold's,0,2,2
Bavarian Meats,0,2,2
Maersk Warehousing & Distribution Services USA LLC,2,0,2
F&S Produce West LLC,1,1,2
F & S Fresh Foods,1,1,2
Rudolph Foods,2,0,2
"Family Brands, LLC",1,1,2
Evergreen Meats Inc.,1,1,2
Grand Peaks Prime Meats,1,1,2
"Maple Leaf Farms, Inc.",1,1,2
Buckhead Meat of San Antonio,1,1,2
Collagen Solutions,1,1,2
Fair Market Inc.,1,1,2
"Broken Arrow Ranch, Inc.",1,1,2
Rovagnati North America LLC,2,0,2
"Chef's Pantry, Inc.",0,2,2
Standard Fair,0,2,2
Alewel's Country Meats,1,1,2
Lowrey's,0,2,2
"Fotis And Son Imports, Inc.",1,1,2
True World Foods,0,2,2
"Foodbrands America, Inc.",0,2,2
Tastepoint Inc.,1,1,2
Los Cabos Mexican Foods,0,2,2
"Cargill, Inc.",0,2,2
Pacific Gold,0,2,2
Denver Dan,0,2,2
Pete's Country Meats,1,1,2
Devanco Foods,1,1,2
George's Farmers Market,0,2,2
Mountaire,0,2,2
OMP Foods,0,2,2
Performance Team,0,2,2
Ozark Mountain Poultry,0,2,2
4 Frendz Meat Market,0,2,2
Claxton Poultry Farms,0,2,2
Nature Raised Farms,0,2,2
Amish Country,0,2,2
Lady Aster (Food Service),0,2,2
The Butcher's Block,1,1,2
KeyFarms,0,2,2
Superior Packing,0,2,2
"King's Quality Meats, LLC",0,2,2
Big Mouth/Cudlins,1,1,2
Southfork Sausage,0,2,2
Discovery Foods,0,2,2
Lulu Asian Kitchen,1,1,2
Ganaderia Santiago Inc.,1,1,2
Double R Ranch,0,2,2
Amoy North American,0,2,2
Fox Country Smoke House LLC,1,1,2
Fourth Street Barbeque Inc.,1,1,2
Ajinomoto North America,0,2,2
A Butchery Shoppe,1,1,2
Apple Brandy Prime Cuts,0,2,2
El Pastelillo Feliz,1,1,2
Golden Tiger,0,2,2
Quality Distributors,1,1,2
Vineland Poultry LLC,1,1,2
Sysco Corporation,0,2,2
Essentia,0,2,2
Performance Foodservice,1,1,2
Sun Commodities,0,2,2
"TSD Sales and Distribution, Inc.",0,2,2
Ajinomoto Foods,0,2,2
BRM,0,2,2
Bally Plus,0,2,2
"Equity Group Georgia Division, LLC",0,2,2
Providence Farmstead,0,2,2
"Clovervale Farms, LLC",0,2,2
George's Inc.,0,2,2
Genoa,0,2,2
Lean Cuisine,0,2,2
Sanderson Farms,0,2,2
Dutch Quality House,0,2,2
"IBP, inc.",0,2,2
Goya,0,2,2
Mountain Man,0,2,2
Verboort,0,2,2
Quality Food Company,1,1,2
The Farmstead Market,0,2,2
Hot Stuff Foods,0,2,2
Embutidos El Compay,1,1,2
Thomas E. Wilson Foods,0,2,2
Tasco Centrifuge,0,2,2
Tasco,0,2,2
Natureraised Farms,0,2,2
Dakota Technology Company,0,2,2
Orion Landmark,0,2,2
"IBP, Inc",0,2,2
Chef's Fresh Foods,1,1,2
"Proliant, Inc.",0,2,2
"Ajinomoto Foods North America, Inc.",1,1,2
Deli Brands of America,1,1,2
Ranger,0,2,2
Dorada Foods,1,1,2
JWM Distribution,1,1,2
Olympia Provisions,1,1,2
"Michigan Turkey Producers Co-op, Inc.",2,0,2
Jones Dairy Farm,2,0,2
"United Source One, Inc.",2,0,2
"Ballester Hermanos, Inc.",2,0,2
"Fuji Foods, Inc.",2,0,2
"Janey Lou's, Inc.",1,1,2
"Cypress Cold Storage, LLC",2,0,2
Frozen Assets Cold Storage LLC,2,0,2
Christian Aid Ministries,2,0,2
At Last Gourmet Foods,2,0,2
"Traditions Prepared Meals, LLC",2,0,2
Dakota Provisions LLC,1,1,2
Minnesota Freezer Warehouse,2,0,2
Chef's Choice,0,2,2
Taylor Farms,2,0,2
"Taylor Farms Illinois, Inc",2,0,2
"Viet My Corporation, Inc.",2,0,2
"San Rafael Distributing, Inc.",2,0,2
Assemblers Inc.,2,0,2
"Maui Cattle Company, LLC",2,0,2
Stearns Poultry Farm,1,1,2
Steamboat Meat & Seafood Co.,1,1,2
Steak Master Inc.,1,1,2
Scotty's Country Smokehouse,2,0,2
JNP Hawaii LLC,2,0,2
University of Missouri Meat Market,2,0,2
Lake City Fish Market,1,1,2
Morgan's Meat Market,1,1,2
Midway International Logistics LLC,2,0,2
JRC Culinary Group Inc.,2,0,2
"Armada Warehouse Solutions, LLC",2,0,2
Custom Craft Poultry,2,0,2
"Piedmont Custom Meats, Inc.",2,0,2
United Fruit and Produce Co.,2,0,2
Bar-S Foods Company,2,0,2
"Taylor Farms New Jersey, Inc.",2,0,2
CPS Logistics LLC,2,0,2
Palisades Ranch,1,1,2
Scimeca's Sausage Co.,1,1,2
"Native American Enterprises, LLC",2,0,2
CTI Foods LLC,2,0,2
"Greater Omaha Packing Co., Inc.",2,0,2
"Bernatello's Pizza, Inc.",2,0,2
Hehnke's,1,1,2
Jubilee,1,1,2
Juanita's Foods,1,1,2
Suffolk Cold Storage,2,0,2
Chunwei Inc.,2,0,2
D&M Distributing,1,1,2
"Caviness Beef Packers, Ltd.",2,0,2
Superior Foods Company,2,0,2
"Castle Canning, LLC",2,0,2
Hanover Foods Corporation,2,0,2
"HVFG, LLC",2,0,2
D & N Provisions,1,1,2
"Coblentz Distributing, Inc",2,0,2
Pacific Produce Corporation,2,0,2
The Classic Jerky Company,2,0,2
"Neese Country Sausage, Inc.",2,0,2
"Tecumseh Poultry, LLC",2,0,2
Hudson Meat Company,1,1,2
"CJ Logistics America, LLC",2,0,2
"CFCM, LLC",2,0,2
His Meat Company,2,0,2
PJ Food Service,2,0,2
"Overhill Farms, Inc.",2,0,2
"Goya de Puerto Rico, Inc.",2,0,2
Bylada Foods LLC,2,0,2
"The Best Dressed Chicken, Inc.",2,0,2
Cured by Visconti,1,1,2
Clint & Sons,2,0,2
Rastelli Global,1,1,2
Just In Thyme Foods,1,1,2
"Pacific Coast Container, Inc.",2,0,2
Paradise Locker Meats,1,1,2
"Fred Usinger, Inc.",2,0,2
"Old Trapper Smoked Products, Inc.",2,0,2
Koch Foods of Cumming,1,1,2
"Empirical Foods, Inc.",2,0,2
Adesa International LLC,2,0,2
"Legacy Beef, LLC",2,0,2
