"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"11362660","01010311611000021000000000U2","COOPERATIVA AGROINDUSTRIAL CBTA 204","SOCIEDAD COOPERATIVA DE PRODUCCION RURAL DE RESPONSABILIDAD LIMITADA SC DE RL DE CV","311611","Matanza de ganado, aves y otros animales comestibles","0 a 5 personas","CARRETERA","ESTATAL NUMERO 43","CARRETERA","ESTATAL NUMERO 43","CALLE","NINGUNO","CALLE","NINGUNO",,"SN",,,,,"BARRIO","SALTO",,,,"20330","01","AGUASCALIENTES","010","El Llano","0001","Palo Alto","0143","040","4491551303",,,"Fijo","21.9226737","-101.97011643","2024-11"
"6282330","01005431122000016012000179S5","DIVISION COMERCIAL NUTRYPOLLO","AGROINDUSTRIAS QUESADA S DE RL DE CV","311611","Matanza de ganado, aves y otros animales comestibles","101 a 250 personas","CIRCUITO","AGUASCALIENTES SUR","CALLE","MUNICIPIO DE ASIENTOS","CALLE","MUNICIPIO DE COSIO","CIRCUITO","AGUASCALIENTES NORTE","108",,,,,,"PARQUE INDUSTRIAL","PARQUE INDUSTRIAL DEL VALLE DE AGUASCALIENTES","PARQUE INDUSTRIAL","DEL VALLE DE AGUASCALIENTES","SN",,"01","AGUASCALIENTES","005","Jesús María","0507","Parque Industrial del Valle de Aguascalientes (PIVA)","0035","008",,"CONTRALORIA@NUTRYPOLLO.COM.MX","WWW.NUTRYPOLLO.COM.MX","Fijo","21.96502338","-102.28594882","2010-07"
"34092","01001311910000591010000000U9","ELABORACION DE CHICHARRON PRENSADO Y MANTECA DE CERDO SIN NOMBRE",,"311614","Elaboración de manteca y otras grasas animales comestibles","0 a 5 personas","CALLE","ANDEN BLOCK B","ANDADOR","DEL ABASTO","CALLE","AVENIDA PRINCIPAL MERCADO CENTRAL DE ABASTOS","CALLE","ANDEN BLOCK C","26",,,,"0",,"ZONA COMERCIAL","ANDEN BLOCK B",,,,"20280","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","1462","014","4499248990","ALEJANDROTAMAYO6501@GMAIL.COM",,"Fijo","21.83106554","-102.28979427","2014-12"
"8885527","01001311613000121000000000U5","ELABORACION DE MORONGA SIN NOMBRE",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","SONORA","CALLE","TABASCO","AVENIDA","AGUASCALIENTES SUR","CALLE","SONORA","205","A",,,"0",,"FRACCIONAMIENTO","MEXICO",,,,"20270","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0962","025",,,,"Fijo","21.85983338","-102.28209927","2019-11"
"11177459","01001311613000141000000000U3","ELABORACION DE PRODUCTOS CARNICOS",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","MARIA CONCEPCION MALDONADO","CALLE","BENJAMIN DE LA MORA","CALLE","J. MARIA LOPEZ DE NAVA","CALLE","J. ENCARNACION PAYEN","202","A",,,,,"COLONIA","OLIVARES SANTANA",,,,"20010","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0322","021","4493525366","ESTADIS_79@OUTLOOK.COM",,"Fijo","21.8913604","-102.31444957","2024-11"
"9854398","01005311613000162000000000U0","EMBUTIDOS LOSERNA",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","6 a 10 personas","CALLE","JUAN PABLO II","CALLE","ELEUTERIO LOPEZ","CALLE","CAMINO REAL","OTRO(ESPECIFIQUE)","RIO","213",,,,,,"COLONIA","AGUA ZARCA",,,,"20925","01","AGUASCALIENTES","005","Jesús María","0001","Jesús María","0548","031","4491859777",,,"Fijo","21.95512494","-102.33971794","2024-11"
"6282576","01005311613000035000000000U8","EMPACADORA DE CARNES SAN FRANCISCO","EMPACADORA DE CARNES SAN FRANCISCO SA DE CV","311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","101 a 250 personas","CARRETERA","PANAMERICANA","AVENIDA","PROLONGACIÓN","CALLE","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","0","SN",,,,,"ZONA INDUSTRIAL","JESÚS GÓMEZ PORTUGAL","ZONA INDUSTRIAL","TECNOPARQUE SANTA CLARA","SN","20909","01","AGUASCALIENTES","005","Jesús María","0041","Jesús Gómez Portugal (Margaritas)","0406","016",,"RH@SANFRANCISCODS.COM","WWW.SANFRANCISCODS.COM","Fijo","22.00718393","-102.28816171","2014-12"
"6281350","01001311612000027000000000U6","EMPACADORA DE CARNES UNIDAD GANADERA","EMPACADORA DE CARNES UNIDAD GANADERA SA","311612","Corte y empacado de carne de ganado, aves y otros animales comestibles","251 y más personas","AVENIDA","UNIVERSIDAD","CALLE","SILVESTRE GÓMEZ","CALLE","BENJAMÍN MÉNDEZ","CALLE","MARÍA DEL CARMEN MARTÍN DEL CAMPO","601",,,,"1",,"COLONIA","UNIDAD GANADERA",,,,"20130","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0233","009",,"ELDA.RODRIGUEZ@UGASA.COM.MX","WWW.UGASA.COM","Fijo","21.90582832","-102.30925029","2010-07"
"6874000","01005431170000012000022405S3","EMPACADORA EL CENTENARIO","EMPACADORA EL CENTENARIO SA DE CV","311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","6 a 10 personas","CALLE","NINGUNO","CALLE","NINGUNO","AVENIDA","INDEPENDENCIA","CALLE","NINGUNO","216",,,,,,"COLONIA","VIÑEDOS",,,,"20908","01","AGUASCALIENTES","005","Jesús María","0458","San Marcos (Central de Abastos) [Viñedos]","0035","020",,"ILARA@EMPACADORAELCENTENARIO.COM","WWW.EMPACADORAELCENTENARIO.COM","Fijo","21.97110978","-102.29201264","2019-04"
"10677579","01005311613000122000000000S4","ENPACADORA EL CENTENARIO",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","6 a 10 personas","CALLE","VIÑEDOS SANTO TOMAS","CALLE","VIÑEDOS SAN FELIPE","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","111",,,,,,,"VIÑEDOS SAN MARCOS",,,,"20907","01","AGUASCALIENTES","005","Jesús María","0458","San Marcos (Central de Abastos) [Viñedos]","0035","018",,"CEDISAGS@ENPACADORAELCENTENARI.COM","ENPACADORACENTENARIO.COM","Fijo","21.97444912","-102.2904632","2024-11"
"6281004","01011311611000015000000000U2","FREASA","FRIGORIFICO Y EMPACADORA DE AGUASCALIENTES SA DE CV","311611","Matanza de ganado, aves y otros animales comestibles","251 y más personas","AVENIDA","BENITO JUÁREZ SUR","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","0","SN",,,,,"COLONIA","NINGUNO",,,,,"01","AGUASCALIENTES","011","San Francisco de los Romo","0001","San Francisco de los Romo","0066","010","4492057119","PROVEEDORESFREASA@OUTLOOK.COM",,"Fijo","22.06374003","-102.27560072","2010-07"
"6873805","01011311611000034001000000U3","GRANJA JESSY","GRANJA JESSY S DE RL DE CV","311611","Matanza de ganado, aves y otros animales comestibles","11 a 30 personas","CARRETERA","CARRETERA LA PROVIDENCIA A LUIS MOYA KM 2","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO",,"KM 2",,,,,"GRANJA","JESSY CARRETERA LA PROVIDENCIA A LUIS MOYA",,,,"20305","01","AGUASCALIENTES","011","San Francisco de los Romo","0001","San Francisco de los Romo","0070","003",,"GRANJAJESSY@HOTMAIL.COM",,"Fijo","22.06471882","-102.2596947","2019-04"
"11475358","01005311613000131000000000S5","HIDRO KARNES",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","VIÑEDOS SAN MARCOS","ANDADOR","MORISTEL","ANDADOR","MERLOT","CALLE","VIÑEDOS VIDES","0","SN","CENTRO DE ABASTOS VIÑEDOS SAN MARCOS","PASILLO","112",,"LOCALIDAD","CENTRO DE ABASTOS VIÑEDOS SAN MARCOS","CENTRAL DE ABASTO","CENTRO DE ABASTOS VIÑEDOS SAN MARCOS","112","20907","01","AGUASCALIENTES","005","Jesús María","0458","San Marcos (Central de Abastos) [Viñedos]","0035","025",,,,"Fijo","21.97056505","-102.29211955","2024-11"
"11017455","01005311613000141000000000U4","HIDROKARNES",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","VIÑEDOS CARIÑAN","CALLE","VIÑEDOS SAN FELIPE","OTRO(ESPECIFIQUE)","NINGUNO","CALLE","VIÑEDOS VIDES","100",,,,,,"LOCALIDAD","CENTRO COMERCIAL VIÑEDOS SAN MARCOS",,,,"20907","01","AGUASCALIENTES","005","Jesús María","0458","San Marcos (Central de Abastos) [Viñedos]","0035","030","4491151770","HIDROKARNES@GMAIL.COM",,"Fijo","21.96946953","-102.2901029","2024-11"
"10193425","01011311613000021000000000U6","JAMONCITOS",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","JESUS TERAN","CALLE","VALENTIN GOMEZ FARIAS","CALLE","GUADALUPE VICTORIA","CALLE","FRANCISCO I. MADERO","109","A",,,,,"FRACCIONAMIENTO","REVOLUCION",,,,"20303","01","AGUASCALIENTES","011","San Francisco de los Romo","0001","San Francisco de los Romo","0028","014","4651017171",,,"Fijo","22.07782128","-102.26908649","2024-11"
"10920577","01001311612000051000000000U6","LA HIDROCALIDA",,"311612","Corte y empacado de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","SEGUNDA","AVENIDA","INDEPENDENCIA","CALLE","EMILIANO ZAPATA","CALLE","TERCERA PRIVADA INDEPENDENCIA","105","A",,,,,"CIUDAD","MANZANA 16",,,,"20116","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","4359","016","4493528005",,,"Fijo","21.93802314","-102.29821754","2024-11"
"10767376","01001311613000161000000000U1","LONGANIZA EL RANCHERO",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","CALLE DE LA CRUZ","CALLE","PODER LEGISLATIVO","CALLE","CASTORENA","CALLE","MUJER MEXICANA","315",,,,,,"BARRIO","LA PURISIMA",,,,"20259","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0657","008",,"IMPRESIONESPOR15@HOTMAIL.COM",,"Fijo","21.88578461","-102.28475247","2024-11"
"11679356","01003311613000031000000000U2","LONGANIZA LOERA",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","SAUZ","CALLE","LAUREL","CALLE","NINGUNO","AVENIDA","INSURGENTES","120",,,,,,"COLONIA","POTRERO DE LOS LOPEZ",,,,"20834","01","AGUASCALIENTES","003","Calvillo","0055","Ojocaliente","0242","002","4951214461",,,"Fijo","21.86929935","-102.67728053","2024-11"
"7043465","01001311614000051000000000U2","MANTEQUERIA LOS ALTOS",,"311614","Elaboración de manteca y otras grasas animales comestibles","0 a 5 personas","PRIVADA","IGNACIO ALLENDE","CALLE","CONFEDERACION NACIONAL CAMPESINA","CALLE","NINGUNO","CALLE","CONFEDERACION NACIONAL CAMPESINA","611",,,,"0",,"EJIDO","SALTO DE OJOCALIENTE",,,,"20263","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","1710","049","4498043359",,,"Fijo","21.86991999","-102.25092786","2019-11"
"13330","01001311613000041000000000U5","PREPARACION DE EMBUTIDOS Y OTRAS CONSERVAS",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","FELIPE ANGELES","CALLE","ROQUE GONZALEZ","AVENIDA","CONVENCION DE 1914 SUR","CALLE","PAULINO MARTINEZ","101","E",,,"0",,"FRACCIONAMIENTO","JARDINES DE LA CONVENCION",,,,"20264","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2460","026","4492107818","VILLA-H@LIVE.COM.MX",,"Fijo","21.86694196","-102.27603464","2010-07"
"2160","01001311614000031001000000U4","PRODUCTOR DE PRODUCTOS CARNICOS GRASA SANGOLA S DE R L M I","GRASA SANGOLA S DE RL DE CV","311614","Elaboración de manteca y otras grasas animales comestibles","6 a 10 personas","CALLE","SILVESTRE GOMEZ","CALLE","MARIA NICOLASA MARQUEZ RIOS","CALLE","7","CALLE","GUADALUPE GONZALEZ","113",,,,,,"FRACCIONAMIENTO","UNION GANADERA",,,,"20130","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0233","008","4499192714","SANGOLA_AGS@HOTMAIL.COM",,"Fijo","21.90798903","-102.31289603","2010-07"
"21840","01007311611000011011000000U9","RASTRO MUNICIPAL","PRESIDENCIA MUNICIPAL ","311611","Matanza de ganado, aves y otros animales comestibles","0 a 5 personas","AVENIDA","INSURGENTES ORIENTE","CALLE","DELFINO V. ARAUJO","PRIVADA","GUEL JIMENEZ","CALLE","DOCTOR FRANCISCO GUEL JIMENEZ","700",,,,"0",,"BARRIO","DE GUADALUPE",,,,"20405","01","AGUASCALIENTES","007","Rincón de Romos","0001","Rincón de Romos","0237","024",,,,"Fijo","22.22801055","-102.31402659","2010-07"
"2290","01005311611000013001000000U9","RASTRO MUNICIPAL","RASTRO MUNICIPAL ","311611","Matanza de ganado, aves y otros animales comestibles","51 a 100 personas","AVENIDA","VALLADOLID","OTRO(ESPECIFIQUE)","NINGUNO","CALLE","CUESTA DE LAS ARBOLEDAS","CALLE","CUESTA DEL ORIENTE","109",,,,,,"FRACCIONAMIENTO","LA CUESTA",,,,"20900","01","AGUASCALIENTES","005","Jesús María","0001","Jesús María","0482","004",,"MARTINEZADELAIDA209@GMAIL.COM",,"Fijo","21.97572257","-102.33882649","2010-07"
"6252535","01011311611000025000000000U1","RASTRO MUNICIPAL DE AGUASCALIENTES","MUNICIPIO DE AGUASCALIENTES AC","311611","Matanza de ganado, aves y otros animales comestibles","51 a 100 personas","CALLE","CARRETERA AGUASCALIENTES-SAN FRANCISCO DE LOS ROMO KM 21","CALLE","NINGUNO","CALLE","NINGUNO","AVENIDA","BENITO JUÁREZ SUR",,"KM 21",,,,,"COLONIA","UNIÓN GANADERA",,,,,"01","AGUASCALIENTES","011","San Francisco de los Romo","0001","San Francisco de los Romo","0066","010",,"ALFREDO.GUZMAN@AGS.GOB.MX",,"Fijo","22.06356651","-102.27236502","2010-07"
"7408208","01008311611000011000000000U7","RASTRO MUNICIPAL SAN JOSE","MUNICIPIO SAN JOSE DE GRACIA ","311611","Matanza de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","SALVADOR MARTIN","CALLE","NICOLAS DE LA CRUZ","CALLE","JACINTO DE CASTRO","CALLE","JUAN RAMIREZ","0","SN",,,"0",,"PUEBLO","SAN JOSE DE GRACIA",,,,"20500","01","AGUASCALIENTES","008","San José de Gracia","0001","San José de Gracia","0164","008",,,,"Fijo","22.15488952","-102.41817423","2019-11"
"50619","01002311611000013000000000U6","RASTRO MUNICIPAL VILLA JUAREZ ASIENTOS AGUASCALIENTES","PRESIDENCIA MUNICIPAL DE ASIENTOS ","311611","Matanza de ganado, aves y otros animales comestibles","6 a 10 personas","AVENIDA","JESUS MACIAS RANGEL","OTRO(ESPECIFIQUE)","MONTE","CALLE","ALDAMA","PRIVADA","NINGUNO","823",,,,,,"BARRIO","BARRIO DE GUADALUPE",,,,"20700","01","AGUASCALIENTES","002","Asientos","0059","Villa Juárez","0086","034","4961040271","CLASICO1910@HOTMAIL.COM",,"Fijo","22.09977172","-102.07705951","2014-12"
"6281322","01001311611000017000000018S9","SABRO POLLO","INTERPEC SAN MARCOS SA","311611","Matanza de ganado, aves y otros animales comestibles","251 y más personas","AVENIDA","JULIO DÍAZ TORRE C-26N","CALLE","CAROLINA VILLANUEVA DE GARCÍA","AVENIDA","SIGLO XXI","CALLE","NINGUNO","104","A",,,,,"CIUDAD INDUSTRIAL","CIUDAD INDUSTRIAL","CIUDAD INDUSTRIAL","CIUDAD INDUSTRIAL","104A",,"01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","1477","026",,"FISCAL@SABRO.COM.MX","WWW.SABRO.COM.MX","Fijo","21.84199933","-102.28005691","2010-07"
"6729405","01001811111004961001000018S0","TALLER MECANICO DE SABRO POLLO","INTERPEC SAN MARCOS SA","311611","Matanza de ganado, aves y otros animales comestibles","51 a 100 personas","AVENIDA","MARIANO ESCOBEDO","CALLE","OSCAR EDUARDO FERNÁNDEZ","AVENIDA","PASEO DE LA CRUZ","AVENIDA","FERROCARRIL","401",,,,,,"COLONIA","SAN LUIS",,,,"20250","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0816","027",,"SERVICIOACLIENTE@SABRO.COM.MX","WWW.SABRO.COM.MX","Fijo","21.87427617","-102.27683138","2016-01"
"10593615","01006311613000021000000000U6","VENTA DE CHORIZO SIN NOMBRE",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","SEPTIMA","CALLE","IGNACIO RAMIREZ","PROLONGACION","LAZARO CARDENAS","CALLE","SEXTA","210",,,,,,"COLONIA","POPULAR",,,,"20675","01","AGUASCALIENTES","006","Pabellón de Arteaga","0001","Pabellón de Arteaga","0070","011","4493946076",,,"Fijo","22.13849484","-102.27618594","2024-11"
"11344335","01001311614000061000000000U1","VENTA DE MANTECA SIN NOMBRE",,"311614","Elaboración de manteca y otras grasas animales comestibles","0 a 5 personas","CALLE","SIERRA TARAHUMARA","CALLE","MONTES DE SAN ANDRES","CALLE","SIERRA DEL MAGUEY","CALLE","SIERRA LACANDONA","205",,,,,,"EJIDO","EJIDO LAS CUMBRES",,,,"20170","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2348","031",,,,"Fijo","21.91253744","-102.25908483","2024-11"
"10850480","01001311613000151000000000U2","VENTA Y ELABORACION DE CHORIZO",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","J MARIA LOPEZ DE NAVA","CALLE","ANDADOR","CALLE","MIGUEL RUELAS","CALLE","PRIVADA MARIA CONCEPCION MALDONADO","0","SN",,,,,"COLONIA","OLIVARES SANTANA",,,,"20010","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","0322","012","4499996521","DANYYTRAVIESO02@GMAIL.COM",,"Fijo","21.89130565","-102.31433845","2024-11"
"10862007","01001311613000171000000000U0","VENTA Y ELABORACION DE CHORIZO",,"311613","Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","CALLE","JUANA DE ARCO","CALLE","CARMEN MACIAS PEÑA","CALLE","LUISA FERNANDEZ VILLA","CALLE","CALLE DE LA ALIANZA","134","A",,,,,"FRACCIONAMIENTO","MUJERES ILUSTRES",,,,"20299","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2954","027","4492722710",,,"Fijo","21.8485986","-102.25119358","2024-11"
"9493379","01001541380000312000000000U8","AMM LABORATORIO","AM LABORATORIO SC","541380","Laboratorios de pruebas","6 a 10 personas","CALLE","I","CALLE","VIII","CALLE","IX","CALLE","FRANCISCO M. REVILLA","406",,,,,,"COLONIA","ANEXO PALOMINO",,,,"20172","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","4325","018",,,,"Fijo","21.92016122","-102.25413954","2024-11"
"49404","01005541620000011011000000U6","ASSUL","GRUPO DE ASESORIA EN HIGIENE Y ECOLOGIA S DE RL DE CV","541380","Laboratorios de pruebas","0 a 5 personas","CALLE","PASEOS DE SAN FELIPE","CALLE","PASEOS DE ASIENTOS","CALLE","PASEOS DE VALLADOLID","AVENIDA","PASEOS DE AGUASCALIENTES","101",,,,"0",,"FRACCIONAMIENTO","PASEOS DE AGUASCALIENTES",,,,"20911","01","AGUASCALIENTES","005","Jesús María","0427","Paseos de Aguascalientes","0459","005","4491116741","ROCIO.CONTRERA@ASSULMEXICO.COM",,"Fijo","21.96607844","-102.29475651","2014-12"
"10671","01001541380000183000000000U3","COSOC SERVICIO DE CONTROL DE CALIDAD MECANICA DE SUELOS","COSOC SA DE CV","541380","Laboratorios de pruebas","11 a 30 personas","CALLE","CIENEGUILLAS","CALLE","LAS CUMBRES","CALLE","RETOÑO","CALLE","EL MOCHO","603",,,,,,"FRACCIONAMIENTO","OJOCALIENTE INEGI",,,,"20196","01","AGUASCALIENTES","001","Aguascalientes","0001","Aguascalientes","2333","025",,"LABCOSOC@YAHOO.COM.MX",,"Fijo","21.87665529","-102.24886367","2010-07"
