country,id,establishment_name,legal_name,scian_code,activity_name,facility_type,street,settlement_type,settlement_name,city,municipality,state,postal_code,latitude,longitude,phone,email,website,employees_range,establishment_type,date_added
mx,11845142,GRANJA ACUICOLA LOS ADOBES,,112519,Otra acuicultura,Aquaculture Facility,CALLE Calle del Deporte 0 SN,COLONIA,5 DE MAYO,5 DE MAYO,Pabellón de Arteaga,Aguascalientes,20671,22.14682192,-102.28100722,4651186038,,,0 a 5 personas,Fijo,2025-05
mx,11845145,GRANJA ACUICOLA RANCHO LA MISION,,112514,Camaronicultura y acuicultura de otros crustáceos en agua dulce,Aquaculture Facility,CALLE Carretera Panamericana 0 SN,LOCALIDAD,EL SALITRILLO,EL SALITRILLO,Rincón de Romos,Aguascalientes,20435,22.18189147,-102.29538617,4491231717,,,0 a 5 personas,Fijo,2025-05
mx,8908752,GRANJA EL CHAVEÑO CENTRO DE REPRODUCCION INVESTIGACION E INOVACION TECNOLOGICA,,112515,Piscicultura en agua dulce,Aquaculture Facility,CALLE XOCONOXTLE 0 DOMICILIO CONOCIDO,LOCALIDAD,CHAVEÑO,CHAVEÑO,Jesús María,Aguascalientes,,21.96152528,-102.36127111,4498131154,NUTRIRANAS@GMAIL.COM,,0 a 5 personas,Fijo,2019-11
mx,11845066,GRANJA LA PERLA,FRANCISCO DE AVILA RODRIGUEZ SC,112515,Piscicultura en agua dulce,Aquaculture Facility,CALLE LAZARO CARDENAS 202,LOCALIDAD,FRESNILLO,FRESNILLO,Rincón de Romos,Aguascalientes,,22.24472185,-102.33828059,4651196859,,,0 a 5 personas,Fijo,2025-05
mx,11845141,GRANJA SAN ISIDRO,,112514,Camaronicultura y acuicultura de otros crustáceos en agua dulce,Aquaculture Facility,CALLE Dinastía 218,RANCHO,EL PUERTECITO,EL PUERTECITO,Calvillo,Aguascalientes,20805,21.84888752,-102.75520471,4959589306,,,0 a 5 personas,Fijo,2025-05
mx,8789655,PISCICULTURA EN AGUA DULCE SIN NOMBRE,,112515,Piscicultura en agua dulce,Aquaculture Facility,CALLE NAYARIT 0 SN Int. 7,LOCALIDAD,JESUS TERAN VILLA,JESUS TERAN VILLA,Aguascalientes,Aguascalientes,,21.85702149,-102.28005911,4491067898,HACECA1@PRODIGY.NET.MX,,0 a 5 personas,Fijo,2019-11
mx,9046074,RANCHO ACUICOLA EL INDIO,RANCHO ACUICOLA INDIO S DE RL,112515,Piscicultura en agua dulce,Aquaculture Facility,CALLE MAR CARIBE 125,FRACCIONAMIENTO,COLINAS DEL RIO,COLINAS DEL RIO,Aguascalientes,Aguascalientes,,21.89688223,-102.3182311,4493292415,JJESUSLR@LIVE.COM,,0 a 5 personas,Fijo,2019-11
mx,6252543,TURISTICA LOMA DE PIEDRA,TURISTICA LOMA DE PIEDRA SA DE CV,112515,Piscicultura en agua dulce,Aquaculture Facility,CALLE MORELOS 86,COLONIA,MALPASO,MALPASO,Calvillo,Aguascalientes,,21.86170583,-102.6651759,4951064891,CLAUDIA_PAO12@HOTMAIL.COM,,0 a 5 personas,Fijo,2014-12
mx,8838283,ABULONES CULTIVADOS,ABULONES CULTIVADOS S DE RL DE CV,112519,Otra acuicultura,Aquaculture Facility,CALLE MACHERO 366 11,COLONIA,ZONA CENTRO,ZONA CENTRO,Ensenada,Baja California,,31.8621572,-116.6267073,,JUANITA.ROMAN@ABULONES.MX,WWW.ABULONESCULTIVADOS.COM,31 a 50 personas,Fijo,2019-11
mx,6166436,ACUACULTURA OCEANICA,ACUACULTURA OCEANICA S DE RL MI,112519,Otra acuicultura,Aquaculture Facility,AVENIDA La Marina 187 B Int. 0,COLONIA,ZONA CENTRO,ZONA CENTRO,Ensenada,Baja California,22800,31.86175373,-116.62808869,,,,6 a 10 personas,Fijo,2010-07
mx,11845021,ACUICOLA SAN QUINTIN,ACUICOLA SAN QUINTIN SA DE CV,112515,Piscicultura en agua dulce,Aquaculture Facility,CALLE Ninguno 0 SN,LOCALIDAD,ACUICOLA SAN QUINTIN,ACUICOLA SAN QUINTIN,San Quintín,Baja California,22934,30.44193417,-115.99320056,6461309983,ACUICOLA_SQBC@YAHOO.COM.MX,,11 a 30 personas,Fijo,2025-05
mx,6166487,ACUICOLA TRIPLEA,,112515,Piscicultura en agua dulce,Aquaculture Facility,OTRO(ESPECIFIQUE) NINGUNO 0 DOMICILIO CONOCIDO,COLONIA,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,Mexicali,Baja California,,32.20725336,-115.1462315,,NORITA95@LIVE.COM,,6 a 10 personas,Fijo,2010-07
mx,6166290,ADMINISTRADORA PESQUERA DEL NOROESTE,ADMINISTRADORA PESQUERA DEL NOROESTE SA DE CV,112516,Piscicultura en agua salada,Aquaculture Facility,PRIVADA Ninguno 3,COLONIA,FONDEPORT (EL SAUZAL),FONDEPORT (EL SAUZAL),Ensenada,Baja California,22760,31.89695746,-116.70758276,,,,0 a 5 personas,Fijo,2014-12
mx,7156055,AGROPESCA DE MEXICO,AGROPESCA DE MEXICO SA DE CV,112515,Piscicultura en agua dulce,Aquaculture Facility,CALLE TRES SN Int. 0,COLONIA,MANCHURIA,MANCHURIA,Ensenada,Baja California,22760,31.89912075,-116.70900461,,,,11 a 30 personas,Fijo,2019-11
mx,6166289,ATUN OCEANO PACIFICO,ATUN OCEANO PACIFICO SA DE CV,112516,Piscicultura en agua salada,Aquaculture Facility,PRIVADA Ninguno 2,COLONIA,FONDEPORT (EL SAUZAL DE RODRIGUEZ),FONDEPORT (EL SAUZAL DE RODRIGUEZ),Ensenada,Baja California,22760,31.89704676,-116.70744376,,,,0 a 5 personas,Fijo,2014-12
mx,6752874,BAJA REEF AQUACULTURE,BAJA REEF AQUACULTURE S DE RL DE CV,112519,Otra acuicultura,Aquaculture Facility,CALLE H DE LAS MORAS 280 Int. 0,COLONIA,VALLE VERDE PARTE ALTA,VALLE VERDE PARTE ALTA,Ensenada,Baja California,,31.88732237,-116.59518212,6461507816,BAJAREFF@GMAIL.COM,,0 a 5 personas,Fijo,2016-10
mx,6166503,BAÑAGA DEL MAR,BAÑAGA DEL MAR S DE RL DE CV,112519,Otra acuicultura,Aquaculture Facility,CALLE SEXTA 156,FRACCIONAMIENTO,SAN QUINTIN,SAN QUINTIN,San Quintín,Baja California,,30.56581055,-115.94433907,6161070125,ADRIANBAHA.811011@GMAIL.COM,,6 a 10 personas,Fijo,2014-12
mx,8011848,BIVALVA,BIVALVA SA DE CV,112519,Otra acuicultura,Aquaculture Facility,CALLE La Marina 187 B,COLONIA,ZONA CENTRO,ZONA CENTRO,Ensenada,Baja California,22896,31.81413538,-116.58748884,6461781684,,,6 a 10 personas,Fijo,2019-11
mx,6166411,BRISA MARINA,,112519,Otra acuicultura,Aquaculture Facility,CALLE EMILIANO ZAPATA 304,EJIDO,PADRE KINO,PADRE KINO,San Quintín,Baja California,,30.52821389,-115.9367213,6161359176,BRISAMARINA94@HOTMAIL.COM,,0 a 5 personas,Fijo,2010-07
mx,10757021,COOPERATIVA JACMED,COOPERATIVA JACMED SC DE RL DE CV,112516,Piscicultura en agua salada,Aquaculture Facility,CARRETERA TKT MXCLI KM 113 113,RANCHO,COOPERATIVA JACMECD,COOPERATIVA JACMECD,Tecate,Baja California,,32.571755,-116.4078561,,BAJAFISHTECATE@GMAIL.COM,,0 a 5 personas,Fijo,2024-11
mx,6166434,CULTIVADORES DEL PACIFICO,CULTIVADORES DEL PACIFICO S DE RL,112519,Otra acuicultura,Aquaculture Facility,CALLE SAN FELIPE 187,FRACCIONAMIENTO,ACAPULCO,ACAPULCO,Ensenada,Baja California,,31.83573668,-116.60443049,6461136184,,CULTIVADORESQMSN.COM,6 a 10 personas,Fijo,2010-07
mx,6166422,GRANJA OSTRICOLA EL RINCON,GRANJA OSTRICOLA EL RINCON S DE RL DE CV,112519,Otra acuicultura,Aquaculture Facility,CALLE Ninguno 0 SN Int. 0 SN,LOCALIDAD,BAHIA LA CHORERA,BAHIA LA CHORERA,San Quintín,Baja California,22934,30.46035616,-116.03902374,,,,0 a 5 personas,Fijo,2010-07
mx,9499001,INSPECCION FITOSANITARIA,SAGARPA,115210,Servicios relacionados con la cría y explotación de animales,Animal Farming Service,BOULEVARD ABELARDO L RODRIGUEZ 816,PUEBLO,COMPUERTAS,COMPUERTAS,Mexicali,Baja California,21218,32.66039946,-115.37500306,,,,11 a 30 personas,Fijo,2024-11
mx,9450263,LIVE BAIT,LIVE BAIT ENSENADA SA DE CV,112515,Piscicultura en agua dulce,Aquaculture Facility,CALLE EMILIANO ZAPATA 100 Int. 0,COLONIA,SAUZAL,SAUZAL,Ensenada,Baja California,22760,31.89874242,-116.69943836,,,,0 a 5 personas,Fijo,2023-11
mx,6166485,MORRO SANTO DOMINGO SPR DE RL,MORRO SANTO DOMINGO SPR DE RL S DE RL,112519,Otra acuicultura,Aquaculture Facility,CALLE Ninguno 0 Int. 0 SN,EJIDO,VILLA JESUS MARIA,VILLA JESUS MARIA,San Quintín,Baja California,22994,28.24828046,-114.09208983,,,,31 a 50 personas,Fijo,2010-07
mx,6740777,ORNAMENTAL LIFE,ORNAMENTAL LIFE S DE RL DE CV,112519,Otra acuicultura,Aquaculture Facility,CALLE ARIES 624,COLONIA,VILLAS DEL SOL,VILLAS DEL SOL,Ensenada,Baja California,,31.89707202,-116.7079002,6461901520,ORNAMENTALLIFE@GMAIL.COM,,0 a 5 personas,Fijo,2016-10
mx,11845146,OSTIONES DEL NOROESTE,OSTIONES DEL NOROESTE S DE RL,112519,Otra acuicultura,Aquaculture Facility,CALLE Alejandra 606,COLONIA,NUEVA ERA,NUEVA ERA,San Quintín,Baja California,22930,30.50614472,-115.91878161,,,,0 a 5 personas,Fijo,2025-05
mx,11845023,OSTIONES GUERRERO,OSTIONES GUERRERO SA DE CV,112516,Piscicultura en agua salada,Aquaculture Facility,CALLE Ninguno 0 SN,LOCALIDAD,OSTIONES GUERRERO,OSTIONES GUERRERO,San Quintín,Baja California,22930,30.46207785,-116.03971524,6161054569,OSTIONABULON@HOTMAIL.COM,,6 a 10 personas,Fijo,2025-05
mx,7863371,OTRA ACUICULTURA SIN NOMBRE,,112519,Otra acuicultura,Aquaculture Facility,CALLE DEL PUERTO 1850,COLONIA,HIDALGO,HIDALGO,Ensenada,Baja California,,31.86012799,-116.5885083,6461207722,BAJAORNAMENTALS@DOL.COM.MX,,0 a 5 personas,Fijo,2019-11
mx,6726153,PACIFICO AQUACULTURE,PACIFICO AQUACULTURE SAPI DE CV,112516,Piscicultura en agua salada,Aquaculture Facility,CALZADA Vista al Mar 500 SN Int. 0,PUEBLO,EL SAUZAL,EL SAUZAL,Ensenada,Baja California,22760,31.90319035,-116.70524511,6461565089,RUBENACOSTA@PACIFICOAQUACULTURE.COM,WWW.PACIFICOAQUACULTURE.COM,251 y más personas,Fijo,2016-01
mx,6166272,PESCA CHIAPAS,PESCA CHIAPAS SA DE CV,115210,Servicios relacionados con la cría y explotación de animales,Animal Farming Service,AVENIDA GALEANA 352 Int. 0,FRACCIONAMIENTO,BAHIA,BAHIA,Ensenada,Baja California,22880,31.85822503,-116.60344459,,MARIBEL.CHAVIRA@PROCESA.MX,,0 a 5 personas,Fijo,2014-12
mx,7863324,PRODUCTORES MARINOS BAJA,PRODUCTORES MARINOS BAJA SA DE CV,112519,Otra acuicultura,Aquaculture Facility,CALLE PARCELA 76 SN 0 DOMICILIO CONOCIDO,EJIDO,ERENDIRA,ERENDIRA,Ensenada,Baja California,,31.27651323,-116.3762239,,,,6 a 10 personas,Fijo,2019-11
mx,11845022,PRODUCTOS MARINOS,PRODUCTOS MARINOS,112519,Otra acuicultura,Aquaculture Facility,OTRO(ESPECIFIQUE) CAMINO A BAHIA FALSA 0 SN,SECTOR,PRODUCTOS MARINOS SPR DE RL,PRODUCTOS MARINOS SPR DE RL,San Quintín,Baja California,,30.45155056,-115.9979878,6161242596,ORTEGARUBI7@GMAIL.COM,,6 a 10 personas,Fijo,2025-05
mx,9290980,PRODUCTOS MARINOS DE LAS CALIFORNIAS,PRODUCTOS MARINOS DE LAS CALIFORNIAS S DE RL DE CV,112519,Otra acuicultura,Aquaculture Facility,CALLE SEIS 9834,PARQUE INDUSTRIAL,FONDEPORT,FONDEPORT,Ensenada,Baja California,,31.8968694,-116.70714288,6121523661,EMMANUEL@BLUEEVOLUCTION.COM,,11 a 30 personas,Fijo,2020-11
mx,9276518,PUNTA FINAL DEL GOLFO,,112516,Piscicultura en agua salada,Aquaculture Facility,CALLE PLACIDO MATA 2314,COLONIA,BENITO JUAREZ,BENITO JUAREZ,Ensenada,Baja California,22820,31.88700526,-116.618009,,PUNTAFINALDELGOLFO@HOTMAIL.COM,WWW.CONTURMEXICANA.COM,6 a 10 personas,Fijo,2020-11
mx,8724099,SE SESMA ESCALANTE,SE SESMA ESCALANTE,112519,Otra acuicultura,Aquaculture Facility,CALZADA Vista al Mar 0 SN,COLONIA,EL SAUZAL,EL SAUZAL,Ensenada,Baja California,22760,31.90420825,-116.71112743,,LORENIADELROCIO@YAHOO.COM.MX,,11 a 30 personas,Fijo,2019-11
mx,9598968,ACUICULTURA,,112519,Otra acuicultura,Aquaculture Facility,CALLE NINGUNO 0 SN,PUEBLO,LA POZA GRANDE,LA POZA GRANDE,Comondú,Baja California Sur,,25.76872315,-112.02354759,6131243972,,,0 a 5 personas,Fijo,2024-11
mx,11845159,ACUICULTURA,,112519,Otra acuicultura,Aquaculture Facility,CALLE Mariano Salinas 0 SN Int. 0,COLONIA,CENTRO,CENTRO,Comondú,Baja California Sur,23710,25.18959939,-112.10244431,6131138860,,,0 a 5 personas,Fijo,2025-05
mx,11845026,ACUICULTURA,,112519,Otra acuicultura,Aquaculture Facility,CALLE Ninguno 0 SN,EJIDO,SANTO DOMINGO,SANTO DOMINGO,Comondú,Baja California Sur,,25.4954267,-111.91740095,6131099608,,,0 a 5 personas,Fijo,2025-05
mx,11845047,ACUICULTURA DE OSTION JAPONES,,112519,Otra acuicultura,Aquaculture Facility,CALLE Ninguno 0 SN,PUEBLO,LA POZA GRANDE,LA POZA GRANDE,Comondú,Baja California Sur,23830,25.76727791,-112.02633917,6131257123,,,0 a 5 personas,Fijo,2025-05
mx,10575671,ACUICULTURA DE OSTION JAPONES,,112519,Otra acuicultura,Aquaculture Facility,CALLE NINGUNO 0 SN Int. 0 SN,PUEBLO,LA POZA GRANDE,LA POZA GRANDE,Comondú,Baja California Sur,,25.76890427,-112.0249688,6131178669,,,0 a 5 personas,Fijo,2024-11
mx,9865035,BAJAS AWESOME BEACH RIDES,LUCAS DE LOS BARRILES SA DE CV,115210,Servicios relacionados con la cría y explotación de animales,Animal Farming Service,CALLE 20 DE NOVIEMBRE 0 SN,LOCALIDAD,LOS BARRILES,LOS BARRILES,La Paz,Baja California Sur,23330,23.69018554,-109.70059397,,THERESA@BAJASAWESOME.COM,WWW.BAJASAWESOME.COM,0 a 5 personas,Fijo,2024-11
mx,6808230,BLUE GENETICS MEXICO,BLUE GENETICS MEXICO SA DE CV,112513,Camaronicultura y acuicultura de otros crustáceos en agua salada,Aquaculture Facility,AVENIDA 5 DE MAYO 0 SN Int. 22,COLONIA,CENTRO,CENTRO,La Paz,Baja California Sur,,24.16339683,-110.31496038,6121376840,YOLANDA.CAZARES@BLUE-GENETICS.COM,,31 a 50 personas,Fijo,2017-11
mx,11845147,CAMARONICULTURA Y ACUICULTURA DE OTROS CRUSTÁCEOS EN AGUA SALADA SIN NOMBRE,,112515,Piscicultura en agua dulce,Aquaculture Facility,AVENIDA Profesor Marcelo Rubio Ruíz 0 SN,COLONIA,MESA MEXICO,MESA MEXICO,Mulegé,Baja California Sur,23920,27.33197535,-112.26400644,6151112445,,,0 a 5 personas,Fijo,2025-05
mx,10759393,CAMARONICULTURA Y ACUICULTURA DE OTROS CRUSTÁCEOS EN AGUA SALADA SIN NOMBRE,,112513,Camaronicultura y acuicultura de otros crustáceos en agua salada,Aquaculture Facility,CALLE NINGUNO 0 SN,PUEBLO,POZA GRANDE,POZA GRANDE,Comondú,Baja California Sur,23830,25.76871827,-112.0296175,,,,0 a 5 personas,Fijo,2024-11
mx,9778644,COOPERATIVA EL JAIBON,SOCIEDAD COOPERATIVA EL JAIBON SC DE RL DE CV,112519,Otra acuicultura,Aquaculture Facility,CALLE NINGUNO 0 SN,PUEBLO,POZA GRANDE,POZA GRANDE,Comondú,Baja California Sur,,25.76835464,-112.03031529,6131407124,,,6 a 10 personas,Fijo,2024-11
mx,9951865,COOPERATIVA ELORCONCITO,,112519,Otra acuicultura,Aquaculture Facility,CALLE JUAN DOMINGUEZ COTA 0 SN,EJIDO,SANTO DOMINGO,SANTO DOMINGO,Comondú,Baja California Sur,,25.49020931,-111.9168283,6241514325,,,0 a 5 personas,Fijo,2024-11
mx,11063733,CRAS ACUACULTURA,CRAS ACUACULTURA SC DE RL DE CV,112513,Camaronicultura y acuicultura de otros crustáceos en agua salada,Aquaculture Facility,AVENIDA 5 DE MAYO 670 Int. 3,COLONIA,CENTRO,CENTRO,La Paz,Baja California Sur,,24.15887437,-110.30833735,,,,11 a 30 personas,Fijo,2024-11
mx,11845028,CULTIVO DE OSTION,,112519,Otra acuicultura,Aquaculture Facility,CALLE Ninguno 0 SN,EJIDO,SANTO DOMINGO,SANTO DOMINGO,Comondú,Baja California Sur,,25.49299862,-111.92020474,6131187687,,,0 a 5 personas,Fijo,2025-05
mx,11845029,CULTIVO DE OSTION,,112519,Otra acuicultura,Aquaculture Facility,CALLE Ninguno 0 SN Int. 0 SN,EJIDO,SANTO DOMINGO,SANTO DOMINGO,Comondú,Baja California Sur,23844,25.49304179,-111.92002491,6131180413,,,0 a 5 personas,Fijo,2025-05
mx,11845030,CULTIVO DE OSTION,,112519,Otra acuicultura,Aquaculture Facility,CALLE La Jojoba 0 SN,EJIDO,SANTO DOMINGO,SANTO DOMINGO,Comondú,Baja California Sur,23850,25.4921054,-111.92000811,6131292224,,,0 a 5 personas,Fijo,2025-05
mx,11845031,CULTIVO DE OSTION,,112519,Otra acuicultura,Aquaculture Facility,CALLE La Jojoba 0 SN,EJIDO,SANTO DOMINGO,SANTO DOMINGO,Comondú,Baja California Sur,,25.49239782,-111.91850282,,,,0 a 5 personas,Fijo,2025-05
mx,11845032,CULTIVO DE OSTION,,112519,Otra acuicultura,Aquaculture Facility,CALLE Miguel Hidalgo 0 SN Int. 0 SN,EJIDO,SANTO DOMINGO,SANTO DOMINGO,Comondú,Baja California Sur,23844,25.49195057,-111.91768251,6131249359,,,0 a 5 personas,Fijo,2025-05
mx,11845033,CULTIVO DE OSTION,,112519,Otra acuicultura,Aquaculture Facility,CALLE Santos Castro Beltran 0 SN,EJIDO,SANTO DOMINGO,SANTO DOMINGO,Comondú,Baja California Sur,23850,25.49154117,-111.91728229,6131249359,,,0 a 5 personas,Fijo,2025-05
mx,11845034,CULTIVO DE OSTION,,112519,Otra acuicultura,Aquaculture Facility,CALLE Santos Castro Beltran 0 SN Int. 0,EJIDO,SANTO DOMINGO,SANTO DOMINGO,Comondú,Baja California Sur,23850,25.49102801,-111.91967395,6131184386,,,0 a 5 personas,Fijo,2025-05
mx,11001785,CULTIVO DE OSTION,,112519,Otra acuicultura,Aquaculture Facility,CALLE LUIS ECHEVERRIA 0 SN,EJIDO,SANTO DOMINGO,SANTO DOMINGO,Comondú,Baja California Sur,,25.49112823,-111.9192192,,,,0 a 5 personas,Fijo,2024-11
mx,8789505,CULTIVOS DEL MAR DEL PACIFICO,CULTIVOS DEL MAR DEL PACIFICO SA DE CV,112514,Camaronicultura y acuicultura de otros crustáceos en agua dulce,Aquaculture Facility,AVENIDA Lázaro Cárdenas 0 SN,COLONIA,FUNDO LEGAL,FUNDO LEGAL,Mulegé,Baja California Sur,23940,27.97661098,-114.03117125,,CILTIVOSDELMARP@HOTMAIL.COM,,6 a 10 personas,Fijo,2019-11
mx,9301382,EARTH OCEAN FARMS,EARTH OCEAN FARM S DE RL DE CV,112516,Piscicultura en agua salada,Aquaculture Facility,BOULEVARD GENERAL AGUSTIN OLACHEA AVILES SN Int. 0,COLONIA,EL CENTENARIO,EL CENTENARIO,La Paz,Baja California Sur,23205,24.09743938,-110.39353034,,,WWW.EARTHOCEANFARMS.COM.MX,11 a 30 personas,Fijo,2020-11
mx,6167164,EL CAMARON SUREÑO,EL CAMARON SUREÑO,112513,Camaronicultura y acuicultura de otros crustáceos en agua salada,Aquaculture Facility,BOULEVARD LUIS DONALDO COLOSIO 0 SN,COLONIA,INDECO,INDECO,La Paz,Baja California Sur,,24.12570067,-110.31695699,,BUZON.CAMARONSUREÑO@GBPO.COM.MX,WWW.GRUPOACUICOLAMEXICANO.COM.MX,31 a 50 personas,Fijo,2010-07
mx,8870990,ESTEROS SANTO DOMINGO,ESTEROS SANTO DOMINGO SA DE CV,112519,Otra acuicultura,Aquaculture Facility,CALLE La Jojoba 0 SN,PUEBLO,SANTO DOMINGO,SANTO DOMINGO,Comondú,Baja California Sur,,25.491801,-111.92063437,6131112116,,,11 a 30 personas,Fijo,2019-11
mx,6167135,GRANJAS MARINAS DE SINALOA,GRANJAS MARINAS DE SINALOA SA DE CV,112513,Camaronicultura y acuicultura de otros crustáceos en agua salada,Aquaculture Facility,CALLE LUIS DONALDO COLOSIO 0 SN Int. 0 SN,COLONIA,INDECO,INDECO,La Paz,Baja California Sur,,24.12569915,-110.31695481,,BUZON.GRANJASMARINAS@GBPO.COM,WWW.GRUPOACUICOLAMEXICANO.COM.MX,31 a 50 personas,Fijo,2010-07
mx,11845158,JOSE IVAN GOMEZ ALEMAN PERMISIONARIO,,112519,Otra acuicultura,Aquaculture Facility,CALLE Ninguno 0 SN Int. 0 SN,,SAN BUTO,SAN BUTO,Comondú,Baja California Sur,23740,24.78449743,-112.05221787,,,,6 a 10 personas,Fijo,2025-05
mx,6166805,LARVAS GRAN MAR,LARVAS GRAN MAR SA DE CV,112513,Camaronicultura y acuicultura de otros crustáceos en agua salada,Aquaculture Facility,BOULEVARD LUIS DONALDO COLOSIO 0 SN,COLONIA,INDECO,INDECO,La Paz,Baja California Sur,,24.12570047,-110.3169567,,BUZON.LARVASGM@GBPO.COM,WWW.GRUPOACUICOLAMEXICANO,51 a 100 personas,Fijo,2014-12
mx,11844901,LAURA ELENA DEL PACIFICO,LAURA ELENA DEL PACIFICO DEL PACIFICO SC DE RL DE CV,112519,Otra acuicultura,Aquaculture Facility,CALLE NINGUNO 0 SN Int. 0 SN,COLONIA,CENTRO,CENTRO,Comondú,Baja California Sur,,25.54745389,-112.0663636,6131218049,,,11 a 30 personas,Fijo,2025-05
mx,6167082,MARIMEX DEL PACIFICO,MARIMEX DEL PACIFICO S DE RL DE CV,112519,Otra acuicultura,Aquaculture Facility,CALLE PASEO ALVARO OBREGON 720,COLONIA,EL ESTERITO,EL ESTERITO,La Paz,Baja California Sur,,24.16787094,-110.31050529,,,,6 a 10 personas,Fijo,2010-07
mx,11845148,MARINE EDEN,MARINE EDEN SA DE CV,112519,Otra acuicultura,Aquaculture Facility,CALLE Cristóbal Colón 0 SN,COLONIA,INFONAVIT,INFONAVIT,Mulegé,Baja California Sur,,27.97541188,-114.02547662,9211499458,,,11 a 30 personas,Fijo,2025-05
mx,8806148,OMEGA AZUL,OMEGA AZUL SA DE CV,112519,Otra acuicultura,Aquaculture Facility,CALLE Carretera a Pichilingue 8,LOCALIDAD,PLAYA ERENDIRA,PLAYA ERENDIRA,La Paz,Baja California Sur,23208,24.23676651,-110.30738194,6121409350,,,51 a 100 personas,Fijo,2019-11
mx,11678671,OTRA ACUICULTURA SIN NOMBRE,,112519,Otra acuicultura,Aquaculture Facility,CALLE LUIS ECHEVERRIA ALVREZ 1,EJIDO,SANTO DOMINGO,SANTO DOMINGO,Comondú,Baja California Sur,,25.48843583,-111.9219397,6131184321,,,0 a 5 personas,Fijo,2024-11
mx,6166659,OTRA ACUICULTURA SIN NOMBRE,,112519,Otra acuicultura,Aquaculture Facility,OTRO(ESPECIFIQUE) Terreno Baldío 0 SN Int. 0,COLONIA,CENTRO,CENTRO,Comondú,Baja California Sur,,25.19420753,-112.12351155,,,,0 a 5 personas,Fijo,2014-12
